time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/15:19:25.526640,2776599,1499757569,474160617,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3777427690167831, 1.2636166740206096, -0.8367865197914932, -0.9706263435344955, -0.2024854640008746, 1.1899855962021098, 1.6609176980829317, 0.046402918833533764, 1.8549662677504366, -0.9476166317162144, -1.417014752809151, 0.0724805922275858, 1.2156797743991905, -0.16835439147042416, -12.565987119160338)","(0.0, 0.012173671530376884, -0.031415926530004856, 0.006675884387626033, 0.0, 0.0007853981632501215, -0.007461282550876154, 0.009424777959001457, 0.001570796326500243, 0.015707963265002428, 0.014529866020127248, -0.006675884387626033, -0.01688606050987761, -0.01021017612225158, -0.0019634954081253035, -0.0007853981632501215, 0.0)","(0.0, 0.0, 3.124, -13.836, 0.528, -22.66, 0.024, 0.008, -0.4, 0.936, -14.368, 0.092, -22.944, 0.388, 0.504, 0.056, -20.48)"
2017/07/11/15:19:25.536596,2776600,1499757569,484195671,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.056373793954788955, 0.3777427690167831, 1.2643836644145523, -0.8360195293975505, -0.9713933339284383, -0.20286895919784598, 1.1907525865960524, 1.6609176980829317, 0.04716990922747647, 1.8553497629474078, -0.9468496413222717, -1.4173982480061222, 0.07286408742455715, 1.2156797743991905, -0.17027186745528092, -12.565987119160338)","(0.0, -0.0011780972448751821, -0.029452431121879556, -0.02042035224450316, -0.003141592653000486, -0.01649336142825255, -0.01060287520387664, 0.006675884387626033, 0.0, -0.003926990816250607, 0.0011780972448751821, 0.023561944897503646, -0.0019634954081253035, -0.0019634954081253035, -0.003141592653000486, -0.0070685834692510935, 0.0)","(0.0, 0.0, 3.06, -13.808, 0.528, -22.464, 0.04, 0.008, -0.392, 0.968, -14.368, 0.06, -22.972, 0.388, 0.504, 0.044, -20.48)"
2017/07/11/15:19:25.546638,2776601,1499757569,494150389,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3777427690167831, 1.2636166740206096, -0.8360195293975505, -0.9702428483375242, -0.20325245439481732, 1.1907525865960524, 1.6609176980829317, 0.04678641403050512, 1.8549662677504366, -0.9468496413222717, -1.417014752809151, 0.0724805922275858, 1.2156797743991905, -0.1687378866673955, -12.565987119160338)","(0.0, 0.015707963265002428, -0.018849555918002914, 0.004319689897875668, 0.029452431121879556, -0.013744467856877126, -0.00510508806112579, 0.0027488935713754254, 0.006283185306000972, -0.00039269908162506076, -0.009424777959001457, 0.014922565101752308, 0.02670353755050413, 0.006283185306000972, -0.01021017612225158, -0.011780972448751823, 0.0)","(0.0, 0.0, 3.156, -13.744, 0.464, -22.368, 0.024, 0.0, -0.38, 0.968, -14.368, 0.092, -22.972, 0.388, 0.504, 0.044, -20.48)"
2017/07/11/15:19:25.553425,604078,1499757569,503000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/15:19:25.556591,2776602,1499757569,504132381,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.056373793954788955, 0.3777427690167831, 1.2636166740206096, -0.8367865197914932, -0.971009838731467, -0.2017184736069319, 1.1907525865960524, 1.6609176980829317, 0.046402918833533764, 1.8557332581443793, -0.947233136519243, -1.4166312576121796, 0.07209709703061444, 1.2156797743991905, -0.17027186745528092, -12.565987119160338)","(0.0, 0.00039269908162506076, 0.01060287520387664, -0.012959069693627005, 0.0047123889795007284, 0.014137166938502187, 0.0027488935713754254, 0.023954643979128706, -0.008639379795751335, 0.008639379795751335, -0.014529866020127248, 0.0070685834692510935, 0.003141592653000486, -0.018456856836377853, 0.012566370612001944, 0.0047123889795007284, 0.0)","(0.0, 0.0, 3.252, -13.744, 0.436, -22.24, 0.04, -0.028, -0.372, 1.0, -14.368, 0.184, -23.156, 0.376, 0.52, 0.056, -20.48)"
2017/07/11/15:19:25.558358,604079,1499757569,508000000,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/15:19:25.566622,2776603,1499757569,514171822,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37735927381981177, 1.2636166740206096, -0.8371700149884646, -0.9702428483375242, -0.2024854640008746, 1.1907525865960524, 1.661301193279903, 0.046402918833533764, 1.8553497629474078, -0.9476166317162144, -1.4173982480061222, 0.07286408742455715, 1.2160632695961617, -0.1695048770613382, -12.565987119160338)","(0.0, -0.001570796326500243, -0.024740042142378828, -0.004319689897875668, 0.0047123889795007284, 0.0007853981632501215, -0.0047123889795007284, -0.007853981632501214, -0.0047123889795007284, -0.0011780972448751821, -0.01688606050987761, 0.009817477040626518, -0.01531526418337737, -0.021598449489378342, -0.023954643979128706, -0.01649336142825255, 0.0)","(0.0, 0.0, 3.412, -13.744, 0.436, -22.304, 0.052, 0.0, -0.392, 1.028, -14.34, 0.124, -23.428, 0.396, 0.54, 0.044, -20.48)"
2017/07/11/15:19:25.576751,2776604,1499757569,524167771,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37735927381981177, 1.2643836644145523, -0.8367865197914932, -0.9702428483375242, -0.20363594959178868, 1.1907525865960524, 1.661301193279903, 0.04601942363656241, 1.8553497629474078, -0.947233136519243, -1.418165238400065, 0.07286408742455715, 1.2164467647931332, -0.16988837225830958, -12.565987119160338)","(0.0, -0.00039269908162506076, -0.03337942193813016, 0.013351768775252066, -0.018456856836377853, 0.02552544030562895, -0.018849555918002914, -0.006283185306000972, 0.01021017612225158, 0.0, 0.0027488935713754254, -0.019634954081253035, -0.024740042142378828, 0.0047123889795007284, -0.02081305132612822, -0.00039269908162506076, 0.0)","(0.0, 0.0, 3.348, -13.744, 0.56, -22.24, 0.052, -0.008, -0.38, 0.968, -14.428, 0.06, -23.7, 0.368, 0.552, 0.064, -20.48)"
2017/07/11/15:19:25.586672,2776605,1499757569,534134403,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37735927381981177, 1.2640001692175808, -0.8360195293975505, -0.9702428483375242, -0.20401944478876002, 1.190369091399081, 1.6616846884768743, 0.04601942363656241, 1.8561167533413507, -0.9476166317162144, -1.418165238400065, 0.07171360183364309, 1.2145292888082764, -0.16912138186436687, -12.565987119160338)","(0.0, 0.0, -0.030237829285129678, -0.00039269908162506076, -0.014137166938502187, -0.00039269908162506076, -0.049480084284757656, 0.003141592653000486, -0.007853981632501214, -0.007853981632501214, 0.024347343060753767, -0.023561944897503646, -0.018849555918002914, 0.001570796326500243, 0.00510508806112579, 0.024347343060753767, 0.0)","(0.0, 0.0, 3.284, -13.808, 0.652, -22.336, 0.06, -0.008, -0.38, 1.06, -14.488, 0.06, -23.764, 0.36, 0.56, 0.064, -20.48)"
2017/07/11/15:19:25.596734,2776606,1499757569,544172157,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37697577862284043, 1.2636166740206096, -0.8367865197914932, -0.9698593531405528, -0.2044029399857314, 1.191519576989995, 1.6609176980829317, 0.04716990922747647, 1.8553497629474078, -0.9480001269131857, -1.418165238400065, 0.07171360183364309, 1.2160632695961617, -0.1687378866673955, -12.565987119160338)","(0.0, -0.013744467856877126, -0.012959069693627005, 0.003141592653000486, 0.015707963265002428, 0.0035342917346255468, -0.05379977418263332, 0.006675884387626033, 0.0023561944897503642, 0.003926990816250607, 0.007461282550876154, -0.01610066234662749, -0.009817477040626518, 0.005890486224375911, 0.001570796326500243, 0.00510508806112579, 0.0)","(0.0, 0.0, 3.38, -13.776, 0.62, -22.368, 0.052, -0.036, -0.4, 1.028, -14.52, 0.152, -23.672, 0.396, 0.552, 0.044, -20.48)"
