time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/15:26:54.720047,67670,1499758014,719646930,0,6634,6595,7323,11282,404,2009,256
2017/07/11/15:26:54.750291,67671,1499758014,750081062,0,6652,6579,7219,11347,491,1659,760
2017/07/11/15:26:54.757553,67672,1499758014,757262945,0,6667,6566,7144,11393,696,1683,730
2017/07/11/15:26:54.779937,67673,1499758014,779649972,0,6706,6485,7139,11420,324,1782,655
2017/07/11/15:26:54.802747,67674,1499758014,802273035,0,6713,6485,7193,11382,726,1788,674
2017/07/11/15:26:54.818660,67675,1499758014,818512916,0,6683,6459,7237,11386,676,1817,768
2017/07/11/15:26:54.839898,67676,1499758014,839642047,0,6672,6421,7361,11335,275,2133,491
2017/07/11/15:26:54.865143,67677,1499758014,864892005,0,6681,6349,7442,11317,397,2193,657
2017/07/11/15:26:54.877424,67678,1499758014,877157926,0,6709,6240,7506,11319,294,2024,659
2017/07/11/15:26:54.899811,67679,1499758014,899617910,0,6737,6105,7593,11317,173,1970,654
2017/07/11/15:26:54.922351,67680,1499758014,922079086,0,6788,5950,7682,11310,43,1980,626
2017/07/11/15:26:54.939122,67681,1499758014,938971042,0,6864,5781,7786,11280,9,1944,656
2017/07/11/15:26:54.959653,67682,1499758014,959456920,0,6941,5616,7904,11235,-3,1981,619
2017/07/11/15:26:54.982676,67683,1499758014,982423067,0,7015,5448,8020,11189,-61,2011,677
2017/07/11/15:26:54.998399,67684,1499758014,998255014,0,7090,5281,8132,11141,-138,1977,609
2017/07/11/15:26:55.019885,67685,1499758015,19659996,0,7171,5121,8244,11082,-219,1937,590
2017/07/11/15:26:55.042495,67686,1499758015,42310953,0,7252,4966,8358,11013,-200,1924,607
2017/07/11/15:26:55.057562,67687,1499758015,57223081,0,7323,4816,8473,10945,-215,1907,586
2017/07/11/15:26:55.079620,67688,1499758015,79408884,0,7387,4669,8577,10885,-240,1883,592
2017/07/11/15:26:55.102468,67689,1499758015,102185010,0,7456,4520,8682,10817,-326,1879,574
2017/07/11/15:26:55.118749,67690,1499758015,118416070,0,7530,4377,8782,10744,-376,1872,565
2017/07/11/15:26:55.139527,67691,1499758015,139369010,0,7599,4246,8877,10669,-382,1855,579
2017/07/11/15:26:55.162152,67692,1499758015,161937952,0,7662,4129,8967,10594,-394,1826,532
2017/07/11/15:26:55.185350,67693,1499758015,185152053,0,7731,4014,9056,10512,-451,1859,522
2017/07/11/15:26:55.208551,67694,1499758015,207855939,0,7796,3907,9136,10436,-466,1884,561
