time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/15:31:54.360200,83917,1499758314,359970092,0,39,166,46,29,23,23,31,52
2017/07/11/15:31:54.374968,83918,1499758314,374829053,0,41,187,53,30,22,23,31,52
2017/07/11/15:31:54.397526,83919,1499758314,397372007,0,42,189,55,31,23,23,30,50
2017/07/11/15:31:54.428472,83920,1499758314,428273916,0,43,174,73,35,26,26,32,50
2017/07/11/15:31:54.434922,83921,1499758314,434772968,0,49,198,106,38,27,27,42,65
2017/07/11/15:31:54.458004,83922,1499758314,457703113,0,58,217,114,43,31,29,46,103
2017/07/11/15:31:54.480430,83923,1499758314,480168104,0,60,229,123,48,33,33,49,109
2017/07/11/15:31:54.495252,83924,1499758314,494951963,0,65,266,161,52,37,37,50,113
2017/07/11/15:31:54.517534,83925,1499758314,517374992,0,69,284,167,56,40,39,51,117
2017/07/11/15:31:54.540154,83926,1499758314,539925098,0,72,349,168,58,41,42,55,115
2017/07/11/15:31:54.557296,83927,1499758314,556798934,0,75,577,236,72,54,48,79,93
2017/07/11/15:31:54.577811,83928,1499758314,577529907,0,80,599,248,83,58,55,98,112
2017/07/11/15:31:54.601829,83929,1499758314,601555109,0,80,605,238,85,57,53,121,131
2017/07/11/15:31:54.631289,83930,1499758314,630984067,0,102,662,279,90,59,58,133,136
2017/07/11/15:31:54.637872,83931,1499758314,637586116,0,106,719,286,98,66,88,303,205
2017/07/11/15:31:54.669421,83932,1499758314,668508052,0,101,607,253,95,63,91,327,212
2017/07/11/15:31:54.682549,83933,1499758314,682370901,0,99,680,293,99,67,87,336,208
2017/07/11/15:31:54.697942,83934,1499758314,697613954,0,98,708,302,103,71,88,386,212
2017/07/11/15:31:54.720196,83935,1499758314,719953060,0,117,764,301,102,70,87,396,273
2017/07/11/15:31:54.742922,83936,1499758314,742711067,0,115,742,332,105,75,57,323,245
2017/07/11/15:31:54.757477,83937,1499758314,757322072,0,133,716,321,107,82,69,364,296
2017/07/11/15:31:54.780401,83938,1499758314,780204057,0,172,725,295,110,99,74,497,384
2017/07/11/15:31:54.802525,83939,1499758314,802376985,0,181,725,292,117,126,90,501,395
2017/07/11/15:31:54.817865,83940,1499758314,817625999,0,166,636,263,117,131,102,536,367
2017/07/11/15:31:54.840384,83941,1499758314,840186119,0,175,586,217,116,129,110,549,376
2017/07/11/15:31:54.862955,83942,1499758314,862710952,0,165,603,237,118,134,107,534,360
2017/07/11/15:31:54.885551,83943,1499758314,885090112,0,141,502,236,114,128,124,431,303
2017/07/11/15:31:54.900389,83944,1499758314,900134086,0,130,627,259,110,117,135,508,317
2017/07/11/15:31:54.922704,83945,1499758314,922430992,0,153,620,265,104,111,136,530,327
2017/07/11/15:31:54.937504,83946,1499758314,937362909,0,147,641,272,94,110,134,523,331
2017/07/11/15:31:54.960266,83947,1499758314,960025072,0,152,660,265,84,108,136,547,307
2017/07/11/15:31:54.982756,83948,1499758314,982511043,0,149,674,257,72,100,123,553,295
2017/07/11/15:31:54.999333,83949,1499758314,999099969,0,156,555,262,76,94,127,552,288
2017/07/11/15:31:55.020015,83950,1499758315,19870996,0,132,544,248,88,101,130,536,340
