time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/16:06:17.951528,186861,1499760377,951298952,0,41,38,55,42,27,22,22,43
2017/07/11/16:06:17.974180,186862,1499760377,973862886,0,42,42,55,44,28,21,23,45
2017/07/11/16:06:17.989459,186863,1499760377,989082098,0,46,47,60,48,33,30,25,47
2017/07/11/16:06:18.011779,186864,1499760378,11585950,0,48,51,57,50,31,36,26,52
2017/07/11/16:06:18.034465,186865,1499760378,34257888,0,49,51,53,43,28,37,26,48
2017/07/11/16:06:18.049192,186866,1499760378,48954963,0,49,50,46,41,31,38,26,47
2017/07/11/16:06:18.071692,186867,1499760378,71398973,0,50,49,49,41,30,39,26,43
2017/07/11/16:06:18.094098,186868,1499760378,93935012,0,56,64,68,36,26,33,24,43
2017/07/11/16:06:18.109428,186869,1499760378,108994960,0,53,65,73,36,27,25,22,42
2017/07/11/16:06:18.131993,186870,1499760378,131695032,0,53,66,74,36,27,21,22,47
2017/07/11/16:06:18.155010,186871,1499760378,154412984,0,59,69,75,35,24,20,26,60
2017/07/11/16:06:18.170466,186872,1499760378,170285940,0,58,70,72,31,23,20,25,63
2017/07/11/16:06:18.191801,186873,1499760378,191488981,0,69,53,49,34,22,19,28,66
2017/07/11/16:06:18.214367,186874,1499760378,214061021,0,116,58,43,33,23,31,35,72
2017/07/11/16:06:18.229131,186875,1499760378,228862047,0,123,62,40,32,25,40,36,68
2017/07/11/16:06:18.251739,186876,1499760378,251519918,0,130,61,42,33,26,40,34,63
2017/07/11/16:06:18.274545,186877,1499760378,274190902,0,200,75,45,34,27,45,46,67
2017/07/11/16:06:18.296450,186878,1499760378,296273946,0,208,86,46,33,27,46,47,74
2017/07/11/16:06:18.312238,186879,1499760378,311835050,0,227,91,48,36,31,51,55,87
2017/07/11/16:06:18.334316,186880,1499760378,334121942,0,266,100,51,36,27,51,62,108
2017/07/11/16:06:18.349590,186881,1499760378,349172115,0,305,117,54,37,30,65,74,107
2017/07/11/16:06:18.371594,186882,1499760378,371377944,0,273,117,56,37,29,63,71,104
2017/07/11/16:06:18.394411,186883,1499760378,393997907,0,546,148,69,40,39,82,83,151
2017/07/11/16:06:18.408843,186884,1499760378,408720970,0,562,161,73,42,44,86,83,154
2017/07/11/16:06:18.431683,186885,1499760378,431488990,0,572,166,75,46,53,140,107,176
2017/07/11/16:06:18.455850,186886,1499760378,454092025,0,572,159,71,46,54,138,103,197
2017/07/11/16:06:18.469133,186887,1499760378,469013929,0,632,165,74,48,54,142,104,219
2017/07/11/16:06:18.492252,186888,1499760378,491878032,0,548,154,64,47,51,140,103,230
