time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/16:13:45.005925,207949,1499760825,5290985,0,3625,4514,9626,11926,462,2117,414
2017/07/11/16:13:45.035737,207950,1499760825,35545110,0,3567,4407,9670,11948,501,2167,477
2017/07/11/16:13:45.043114,207951,1499760825,42751073,0,3519,4267,9727,11966,236,2519,269
2017/07/11/16:13:45.065555,207952,1499760825,65115928,0,3517,4073,9764,12004,50,2245,467
2017/07/11/16:13:45.088044,207953,1499760825,87789058,0,3513,3881,9852,11998,180,2081,493
2017/07/11/16:13:45.102718,207954,1499760825,102521896,0,3522,3637,9970,11974,34,2288,378
2017/07/11/16:13:45.125299,207955,1499760825,125091075,0,3543,3371,10094,11941,-88,2389,309
2017/07/11/16:13:45.147826,207956,1499760825,147533893,0,3586,3086,10209,11908,-145,2282,287
2017/07/11/16:13:45.162921,207957,1499760825,162672996,0,3676,2763,10316,11867,-266,2175,342
2017/07/11/16:13:45.184896,207958,1499760825,184781074,0,3772,2429,10428,11813,-405,2073,426
2017/07/11/16:13:45.209283,207959,1499760825,208865880,0,3862,2087,10545,11744,-472,2100,323
2017/07/11/16:13:45.222828,207960,1499760825,222537994,0,3980,1746,10650,11665,-617,2156,193
2017/07/11/16:13:45.245384,207961,1499760825,245155096,0,4115,1420,10752,11569,-697,2014,152
2017/07/11/16:13:45.267437,207962,1499760825,267252922,0,4261,1112,10857,11451,-683,1861,169
2017/07/11/16:13:45.298718,207963,1499760825,298399925,0,4413,815,10963,11318,-769,1892,250
2017/07/11/16:13:45.305382,207964,1499760825,304922103,0,4569,529,11045,11191,-783,1903,242
2017/07/11/16:13:45.327454,207965,1499760825,327269077,0,4725,236,11111,11071,-873,1836,191
2017/07/11/16:13:45.344575,207966,1499760825,344355106,0,4879,-41,11171,10946,-970,1791,162
2017/07/11/16:13:45.367721,207967,1499760825,367563009,0,5029,-298,11213,10830,-1021,1754,155
2017/07/11/16:13:45.388129,207968,1499760825,387795925,0,5183,-545,11235,10725,-1005,1639,186
2017/07/11/16:13:45.402504,207969,1499760825,402365922,0,5332,-777,11257,10614,-1055,1531,178
2017/07/11/16:13:45.433615,207970,1499760825,433271884,0,5469,-993,11276,10506,-1106,1607,122
2017/07/11/16:13:45.447712,207971,1499760825,447415113,0,5590,-1191,11275,10422,-1179,1663,75
2017/07/11/16:13:45.471252,207972,1499760825,470963954,0,5706,-1372,11250,10364,-1218,1583,37
2017/07/11/16:13:45.488960,207973,1499760825,488648891,0,5832,-1536,11211,10313,-1216,1433,156
2017/07/11/16:13:45.508096,207974,1499760825,507713079,0,5963,-1685,11171,10258,-1190,1401,164
2017/07/11/16:13:45.531739,207975,1499760825,531081914,0,6084,-1829,11123,10214,-1262,1484,91
2017/07/11/16:13:45.545694,207976,1499760825,545089006,0,6205,-1961,11057,10188,-1330,1445,94
2017/07/11/16:13:45.567426,207977,1499760825,567301034,0,6324,-2071,10988,10168,-1316,1338,196
2017/07/11/16:13:45.591062,207978,1499760825,590768098,0,6451,-2175,10915,10146,-1378,1382,161
2017/07/11/16:13:45.605388,207979,1499760825,605107069,0,6569,-2268,10831,10139,-1431,1420,157
2017/07/11/16:13:45.629858,207980,1499760825,629381895,0,6680,-2346,10736,10150,-1449,1366,213
2017/07/11/16:13:45.650956,207981,1499760825,650710105,0,6791,-2409,10633,10170,-1455,1299,264
2017/07/11/16:13:45.666650,207982,1499760825,666459083,0,6899,-2453,10535,10189,-1440,1260,221
2017/07/11/16:13:45.687579,207983,1499760825,687339067,0,6992,-2477,10445,10212,-1333,1306,236
2017/07/11/16:13:45.711680,207984,1499760825,710773944,0,7063,-2509,10344,10258,-1359,1393,262
2017/07/11/16:13:45.725168,207985,1499760825,724905967,0,7134,-2550,10228,10315,-1528,1287,314
2017/07/11/16:13:45.747964,207986,1499760825,747558116,0,7233,-2580,10101,10364,-1608,1139,394
2017/07/11/16:13:45.770126,207987,1499760825,769912004,0,7320,-2570,10005,10398,-1427,1255,475
2017/07/11/16:13:45.785353,207988,1499760825,785008907,0,7361,-2566,9909,10462,-1347,1495,386
2017/07/11/16:13:45.807447,207989,1499760825,807300090,0,7403,-2593,9784,10543,-1520,1250,328
2017/07/11/16:13:45.830284,207990,1499760825,829804897,0,7479,-2614,9661,10597,-1606,998,453
2017/07/11/16:13:45.845970,207991,1499760825,845781087,0,7568,-2600,9576,10615,-1509,1139,565
2017/07/11/16:13:45.867794,207992,1499760825,867408037,0,7617,-2572,9507,10649,-1361,1407,570
2017/07/11/16:13:45.906992,207993,1499760825,906579017,0,7642,-2571,9411,10716,-1429,1356,518
2017/07/11/16:13:45.908794,207994,1499760825,908287048,0,7693,-2580,9304,10771,-1570,1040,553
2017/07/11/16:13:45.927910,207995,1499760825,927649974,0,7772,-2549,9219,10795,-1572,1035,699
2017/07/11/16:13:45.950537,207996,1499760825,950310945,0,7832,-2495,9168,10807,-1378,1207,673
2017/07/11/16:13:45.964996,207997,1499760825,964801073,0,7857,-2462,9098,10856,-1325,1290,588
2017/07/11/16:13:45.988241,207998,1499760825,987612962,0,7890,-2451,9001,10915,-1457,1072,616
2017/07/11/16:13:46.010010,207999,1499760826,9835958,0,7950,-2414,8907,10957,-1489,930,799
2017/07/11/16:13:46.025533,208000,1499760826,25249958,0,8013,-2348,8847,10974,-1454,1036,778
2017/07/11/16:13:46.049455,208001,1499760826,49237966,0,8046,-2277,8788,11012,-1368,1190,745
2017/07/11/16:13:46.069961,208002,1499760826,69749116,0,8068,-2214,8712,11068,-1359,1113,688
2017/07/11/16:13:46.085195,208003,1499760826,84997892,0,8097,-2151,8642,11115,-1389,1040,745
2017/07/11/16:13:46.108091,208004,1499760826,107459068,0,8136,-2062,8585,11147,-1309,1017,869
2017/07/11/16:13:46.130319,208005,1499760826,130173921,0,8159,-1972,8541,11180,-1264,1191,845
2017/07/11/16:13:46.144979,208006,1499760826,144787073,0,8176,-1900,8473,11232,-1367,1220,782
2017/07/11/16:13:46.176663,208007,1499760826,175831079,0,8202,-1838,8380,11293,-1334,1060,886
2017/07/11/16:13:46.190681,208008,1499760826,190421104,0,8228,-1767,8311,11337,-1296,1033,880
2017/07/11/16:13:46.205263,208009,1499760826,205025911,0,8242,-1684,8261,11376,-1216,1168,927
2017/07/11/16:13:46.227533,208010,1499760826,227402925,0,8255,-1611,8212,11412,-1249,1199,906
2017/07/11/16:13:46.251921,208011,1499760826,251398086,0,8273,-1535,8158,11448,-1269,1162,938
2017/07/11/16:13:46.265548,208012,1499760826,265346050,0,8297,-1449,8121,11468,-1310,1075,966
2017/07/11/16:13:46.287910,208013,1499760826,287633895,0,8303,-1368,8084,11500,-1168,1284,985
2017/07/11/16:13:46.310030,208014,1499760826,309847116,0,8304,-1307,8029,11544,-1079,1268,900
2017/07/11/16:13:46.325329,208015,1499760826,325124025,0,8314,-1268,7966,11586,-1129,1145,877
2017/07/11/16:13:46.348575,208016,1499760826,348195075,0,8327,-1204,7919,11614,-1114,1169,976
2017/07/11/16:13:46.370075,208017,1499760826,369894027,0,8339,-1149,7887,11634,-1177,1281,1053
2017/07/11/16:13:46.385144,208018,1499760826,384943008,0,8347,-1110,7848,11658,-1202,1169,970
2017/07/11/16:13:46.408123,208019,1499760826,407670974,0,8356,-1054,7814,11680,-1158,1157,978
2017/07/11/16:13:46.430080,208020,1499760826,429889917,0,8366,-978,7781,11702,-1093,1147,1034
2017/07/11/16:13:46.445130,208021,1499760826,444907903,0,8378,-901,7742,11724,-1058,1269,1145
2017/07/11/16:13:46.470165,208022,1499760826,468646049,0,8383,-856,7706,11749,-1082,1277,1063
2017/07/11/16:13:46.490460,208023,1499760826,490194082,0,8386,-826,7645,11788,-1096,1289,1009
2017/07/11/16:13:46.505455,208024,1499760826,505151987,0,8402,-791,7576,11823,-1075,1042,1084
2017/07/11/16:13:46.528390,208025,1499760826,528057098,0,8409,-728,7542,11844,-893,1126,1181
2017/07/11/16:13:46.550342,208026,1499760826,550100088,0,8410,-682,7529,11854,-1086,1236,1178
2017/07/11/16:13:46.565792,208027,1499760826,565361976,0,8404,-645,7510,11872,-1074,1235,1106
2017/07/11/16:13:46.587487,208028,1499760826,587302923,0,8397,-617,7461,11910,-970,1269,1100
2017/07/11/16:13:46.618545,208029,1499760826,618098974,0,8404,-585,7405,11941,-988,1133,1195
2017/07/11/16:13:46.624921,208030,1499760826,624753952,0,8392,-559,7387,11962,-1088,1307,1314
2017/07/11/16:13:46.648201,208031,1499760826,647712945,0,8381,-543,7344,11997,-1023,1223,1267
2017/07/11/16:13:46.670154,208032,1499760826,669931888,0,8373,-521,7302,12029,-946,1179,1177
2017/07/11/16:13:46.685085,208033,1499760826,684863090,0,8364,-486,7282,12050,-968,1276,1142
2017/07/11/16:13:46.707496,208034,1499760826,707262992,0,8351,-470,7272,12064,-1075,1276,1291
2017/07/11/16:13:46.738094,208035,1499760826,737945079,0,8341,-451,7259,12081,-996,1298,1311
2017/07/11/16:13:46.752930,208036,1499760826,752659082,0,8330,-439,7237,12102,-962,1347,1205
2017/07/11/16:13:46.767542,208037,1499760826,767359018,0,8324,-448,7188,12135,-1023,1261,1273
2017/07/11/16:13:46.790546,208038,1499760826,790206909,0,8328,-435,7166,12145,-1044,1096,1318
