time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/16:16:52.464982,945068,1499761016,412000000,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/16:16:52.468035,3121293,1499761016,413944886,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3788932546076972, 1.290077842611633, -0.8479078805036625, -0.9564370212465555, -0.21897575747064282, 1.1731118075353701, 1.6639856596587026, 0.04716990922747647, 1.8561167533413507, -0.9468496413222717, -1.4177817432030937, 0.0724805922275858, 1.2160632695961617, -0.1687378866673955, -12.565987119160338)","(0.0, -0.009032078877376396, -0.007853981632501214, 0.31847895519792424, -0.06086835765188441, 0.07147123285576105, -0.20577431877153182, -0.32594023774880043, 0.08796459428401361, -0.00510508806112579, -0.011780972448751823, 0.0070685834692510935, 0.009032078877376396, 0.0200276531628781, 0.024347343060753767, -0.0007853981632501215, 0.0)","(0.0, 0.0, 4.304, -15.02, 0.436, -23.796, 0.38, 0.096, -0.352, 1.216, -14.308, 0.028, -22.944, 0.352, 0.444, 0.044, -20.48)"
2017/07/11/16:16:52.468982,945069,1499761016,416000000,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:16:52.478246,3121294,1499761016,423948076,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3781262642137545, 1.292378813793461, -0.8486748708976052, -0.9568205164435268, -0.22089323345549958, 1.1692768555656565, 1.6651361452496167, 0.04716990922747647, 1.8553497629474078, -0.947233136519243, -1.417014752809151, 0.0724805922275858, 1.2160632695961617, -0.1679708962734528, -12.565987119160338)","(0.0, 0.003141592653000486, 0.0047123889795007284, 0.3247621405039252, -0.08207410805963769, 0.07147123285576105, -0.20970130958778244, -0.36521014591130646, 0.056155968672383684, 0.019634954081253035, 0.0200276531628781, -0.007461282550876154, 0.009817477040626518, 0.01727875959150267, 0.008246680714126275, 0.01021017612225158, 0.0)","(0.0, 0.0, 4.272, -14.896, 0.496, -23.568, 0.328, 0.192, -0.336, 1.156, -14.28, -0.028, -22.912, 0.312, 0.464, 0.056, -20.48)"
2017/07/11/16:16:52.487983,3121295,1499761016,433938481,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3788932546076972, 1.2958302705662033, -0.8498253564885192, -0.9552865356556414, -0.2239611950312704, 1.1650584083989717, 1.665519640446588, 0.04716990922747647, 1.8557332581443793, -0.947233136519243, -1.417014752809151, 0.07286408742455715, 1.2156797743991905, -0.1679708962734528, -12.565987119160338)","(0.0, -0.009424777959001457, -0.008246680714126275, 0.34047010376892767, -0.07147123285576105, 0.084037603467763, -0.22580197193440993, -0.3777765165233084, 0.04751658887663235, 0.0007853981632501215, -0.019242254999627974, -0.01649336142825255, 0.005497787142750851, 0.012566370612001944, -0.019634954081253035, -0.011780972448751823, 0.0)","(0.0, 0.0, 4.24, -14.708, 0.496, -23.404, 0.312, 0.308, -0.336, 0.968, -14.28, 0.0, -22.912, 0.312, 0.52, 0.056, -20.48)"
2017/07/11/16:16:52.498222,3121296,1499761016,443937837,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3781262642137545, 1.2996652225359169, -0.8513593372764047, -0.95490304045867, -0.22626216621309853, 1.1616069516262295, 1.6670536212344733, 0.04678641403050512, 1.8557332581443793, -0.947233136519243, -1.417014752809151, 0.0724805922275858, 1.2160632695961617, -0.1687378866673955, -12.565987119160338)","(0.0, 0.009817477040626518, -0.011780972448751823, 0.34439709458517825, -0.11349003458964255, 0.08914269152888879, -0.2670353755050413, -0.3789546137681836, 0.059690260407009234, 0.01727875959150267, -0.018064157754752792, 0.007461282550876154, 0.009817477040626518, -0.0027488935713754254, -0.03180862561162992, -0.005890486224375911, 0.0)","(0.0, 0.0, 4.208, -14.368, 0.372, -23.372, 0.296, 0.424, -0.28, 1.0, -14.28, 0.028, -22.944, 0.328, 0.572, 0.056, -20.48)"
2017/07/11/16:16:52.508087,3121297,1499761016,453978731,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37850975941072584, 1.301966193717745, -0.851742832473376, -0.9533690596707847, -0.228946632591898, 1.1573885044595447, 1.6705050780072155, 0.04793689962141918, 1.8553497629474078, -0.9480001269131857, -1.4162477624152083, 0.07209709703061444, 1.2156797743991905, -0.1687378866673955, -12.565987119160338)","(0.0, 0.0047123889795007284, -0.009032078877376396, 0.3279037331569257, -0.1119192382631423, 0.09581857591651483, -0.2737112598926673, -0.40290925774731234, 0.20027653162878098, 0.012566370612001944, -0.011780972448751823, 0.018064157754752792, 0.012566370612001944, -0.001570796326500243, -0.051443579692882956, 0.0007853981632501215, 0.0)","(0.0, 0.0, 4.016, -14.212, 0.34, -23.308, 0.296, 0.424, -0.288, 1.028, -14.248, -0.06, -22.972, 0.344, 0.62, 0.056, -20.48)"
2017/07/11/16:16:52.516105,945070,1499761016,463000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/16:16:52.518049,3121298,1499761016,463903221,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37850975941072584, 1.3061846408844298, -0.8521263276703473, -0.952602069276842, -0.23124760377372613, 1.1531700572928598, 1.6739565347799577, 0.047553404424447825, 1.8557332581443793, -0.9480001269131857, -1.4166312576121796, 0.07286408742455715, 1.2145292888082764, -0.16758740107648146, -12.565987119160338)","(0.0, -0.014922565101752308, -0.019242254999627974, 0.368744437645932, -0.06950773744763575, 0.09189158510026421, -0.3019855937696717, -0.4319689897875668, 0.30041479744317146, 0.0019634954081253035, 0.008639379795751335, 0.005890486224375911, 0.006675884387626033, -0.01649336142825255, -0.0019634954081253035, -0.0011780972448751821, 0.0)","(0.0, 0.0, 4.144, -14.212, 0.216, -23.308, 0.304, 0.356, -0.316, 0.936, -14.248, 0.0, -23.032, 0.376, 0.62, 0.056, -20.48)"
2017/07/11/16:16:52.519925,945071,1499761016,467000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:16:52.528379,3121299,1499761016,473943962,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37850975941072584, 1.309636097657172, -0.85289331806429, -0.9522185740798705, -0.235466050940411, 1.1485681149292035, 1.6766410011587571, 0.04716990922747647, 1.8549662677504366, -0.947233136519243, -1.4173982480061222, 0.0732475826215285, 1.215296279202219, -0.16758740107648146, -12.565987119160338)","(0.0, -0.0011780972448751821, -0.01021017612225158, 0.3809181091763089, -0.10681415020201653, 0.08246680714126275, -0.2831360378516688, -0.478307481419324, 0.37227872938055756, -0.014922565101752308, 0.001570796326500243, -0.0070685834692510935, -0.013744467856877126, -0.015707963265002428, 0.0070685834692510935, 0.005497787142750851, 0.0)","(0.0, 0.0, 4.112, -14.368, 0.248, -23.18, 0.276, 0.26, -0.324, 1.06, -14.22, -0.028, -22.944, 0.36, 0.6, 0.036, -20.48)"
2017/07/11/16:16:52.538067,3121300,1499761016,483939178,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3781262642137545, 1.3142380400208282, -0.8536603084582327, -0.9506845932919852, -0.23700003172829642, 1.1428156869746333, 1.6816264387193849, 0.04678641403050512, 1.8553497629474078, -0.947233136519243, -1.4166312576121796, 0.07209709703061444, 1.2149127840052476, -0.1679708962734528, -12.565987119160338)","(0.0, 0.0047123889795007284, -0.01610066234662749, 0.4091924430533133, -0.08796459428401361, 0.0911061869370141, -0.30080749652479655, -0.49990593090870233, 0.40251655866568725, -0.004319689897875668, -0.0035342917346255468, -0.019634954081253035, 0.0047123889795007284, 0.012173671530376884, 0.010995574285501701, 0.0200276531628781, 0.0)","(0.0, 0.0, 4.176, -14.584, 0.372, -23.18, 0.284, 0.164, -0.324, 1.028, -14.188, 0.06, -23.004, 0.376, 0.56, 0.044, -20.48)"
