time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/15:52:45.677570,145080,1499759565,677396059,0,5148,5298,8761,11708,196,1938,455
2017/07/11/15:52:45.692513,145081,1499759565,692317008,0,5141,5283,8806,11684,161,1976,353
2017/07/11/15:52:45.715598,145082,1499759565,715126991,0,5119,5255,8811,11703,230,2110,485
2017/07/11/15:52:45.737810,145083,1499759565,737612962,0,5105,5249,8792,11725,199,2023,432
2017/07/11/15:52:45.753222,145084,1499759565,752616882,0,5100,5271,8786,11723,219,1890,319
2017/07/11/15:52:45.776324,145085,1499759565,776145935,0,5095,5299,8771,11723,299,1977,302
2017/07/11/15:52:45.797464,145086,1499759565,797306060,0,5085,5282,8740,11758,446,1939,624
2017/07/11/15:52:45.813393,145087,1499759565,812777042,0,5070,5270,8717,11787,39,1724,444
2017/07/11/15:52:45.835341,145088,1499759565,835071086,0,5040,5289,8732,11780,248,1779,381
2017/07/11/15:52:45.857812,145089,1499759565,857661962,0,5007,5308,8757,11768,298,2063,391
2017/07/11/15:52:45.873442,145090,1499759565,872889041,0,4983,5325,8770,11760,243,2133,457
2017/07/11/15:52:45.895035,145091,1499759565,894805908,0,4970,5346,8766,11759,217,1964,428
2017/07/11/15:52:45.917572,145092,1499759565,917373895,0,4945,5373,8754,11767,377,1761,416
2017/07/11/15:52:45.933204,145093,1499759565,932879924,0,4924,5391,8761,11762,389,1867,428
2017/07/11/15:52:45.954899,145094,1499759565,954750061,0,4903,5397,8785,11750,339,1952,453
2017/07/11/15:52:45.977854,145095,1499759565,977616071,0,4896,5391,8800,11745,339,2001,429
2017/07/11/15:52:45.992818,145096,1499759565,992557048,0,4899,5372,8817,11739,370,2003,413
2017/07/11/15:52:46.015445,145097,1499759566,15213012,0,4896,5343,8842,11735,375,1998,461
2017/07/11/15:52:46.045925,145098,1499759566,45722961,0,4883,5299,8876,11735,281,2032,445
2017/07/11/15:52:46.070234,145099,1499759566,68142890,0,4872,5238,8908,11742,184,2112,481
2017/07/11/15:52:46.075363,145100,1499759566,75001955,0,4874,5161,8933,11757,198,2045,455
2017/07/11/15:52:46.103195,145101,1499759566,103025913,0,4864,5112,9020,11715,207,1985,439
2017/07/11/15:52:46.113066,145102,1499759566,112741947,0,4879,5032,9114,11671,133,2131,487
2017/07/11/15:52:46.135343,145103,1499759566,135117053,0,4894,4951,9192,11638,129,2166,432
2017/07/11/15:52:46.166590,145104,1499759566,165832996,0,4929,4844,9247,11625,39,2113,409
2017/07/11/15:52:46.174556,145105,1499759566,174333095,0,4983,4733,9293,11611,33,2000,389
2017/07/11/15:52:46.194823,145106,1499759566,194700956,0,5041,4618,9353,11584,33,1938,448
2017/07/11/15:52:46.218627,145107,1499759566,218223094,0,5090,4506,9424,11549,8,1971,422
2017/07/11/15:52:46.232862,145108,1499759566,232592105,0,5142,4382,9500,11511,-89,2022,384
2017/07/11/15:52:46.256402,145109,1499759566,256249904,0,5222,4249,9569,11468,-206,2023,333
2017/07/11/15:52:46.277843,145110,1499759566,277529954,0,5302,4130,9630,11423,-106,1943,371
2017/07/11/15:52:46.292764,145111,1499759566,292392969,0,5377,4015,9693,11376,-106,1980,391
2017/07/11/15:52:46.315323,145112,1499759566,315114021,0,5449,3896,9744,11340,-165,1991,389
2017/07/11/15:52:46.337368,145113,1499759566,337260007,0,5532,3772,9789,11302,-233,1924,360
2017/07/11/15:52:46.353341,145114,1499759566,352878093,0,5627,3647,9837,11255,-293,1898,355
2017/07/11/15:52:46.374919,145115,1499759566,374747991,0,5717,3537,9884,11203,-257,1921,392
2017/07/11/15:52:46.398076,145116,1499759566,397650957,0,5806,3424,9913,11167,-291,1997,373
2017/07/11/15:52:46.420812,145117,1499759566,420367956,0,5904,3308,9928,11137,-344,1933,388
2017/07/11/15:52:46.434992,145118,1499759566,434824943,0,6004,3192,9934,11113,-338,1816,397
2017/07/11/15:52:46.457879,145119,1499759566,457660913,0,6092,3087,9956,11075,-377,1815,408
2017/07/11/15:52:46.488173,145120,1499759566,487993955,0,6184,2988,9982,11027,-460,1911,397
2017/07/11/15:52:46.494806,145121,1499759566,494680881,0,6282,2882,9984,10998,-468,1946,418
