time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/15:55:49.151443,155490,1499759749,151079893,0,349,72,39,179,168,44,50,152
2017/07/11/15:55:49.172839,155491,1499759749,172544956,0,356,66,39,133,162,30,51,161
2017/07/11/15:55:49.197584,155492,1499759749,197164058,0,340,59,36,130,158,28,51,160
2017/07/11/15:55:49.211113,155493,1499759749,210741043,0,354,59,37,125,155,27,35,129
2017/07/11/15:55:49.232962,155494,1499759749,232799053,0,353,59,36,130,166,27,39,101
2017/07/11/15:55:49.256924,155495,1499759749,256294012,0,292,56,35,110,141,25,37,91
2017/07/11/15:55:49.272481,155496,1499759749,272211074,0,301,90,35,75,107,24,40,70
2017/07/11/15:55:49.293273,155497,1499759749,292850017,0,312,87,31,69,99,22,37,60
2017/07/11/15:55:49.308216,155498,1499759749,307912111,0,293,97,32,65,96,22,38,58
2017/07/11/15:55:49.330308,155499,1499759749,330127954,0,290,142,53,47,66,23,35,57
2017/07/11/15:55:49.353199,155500,1499759749,352925062,0,340,149,59,37,58,22,35,60
2017/07/11/15:55:49.368970,155501,1499759749,368846893,0,287,131,57,34,59,23,29,70
2017/07/11/15:55:49.390250,155502,1499759749,390091896,0,261,133,59,38,63,24,29,74
2017/07/11/15:55:49.413116,155503,1499759749,412827014,0,266,131,70,36,63,23,28,74
2017/07/11/15:55:49.435696,155504,1499759749,435542106,0,252,106,60,42,69,23,30,73
2017/07/11/15:55:49.450772,155505,1499759749,450504064,0,179,172,72,42,54,25,31,70
2017/07/11/15:55:49.472862,155506,1499759749,472685098,0,279,188,81,43,50,24,31,70
2017/07/11/15:55:49.487623,155507,1499759749,487509012,0,316,194,84,43,45,26,35,81
2017/07/11/15:55:49.510918,155508,1499759749,510534048,0,311,191,79,44,44,30,34,81
2017/07/11/15:55:49.532830,155509,1499759749,532536983,0,355,204,88,40,32,30,33,88
2017/07/11/15:55:49.547635,155510,1499759749,547485113,0,431,190,81,41,31,33,37,95
2017/07/11/15:55:49.570411,155511,1499759749,570179939,0,452,197,74,40,30,33,43,114
2017/07/11/15:55:49.592752,155512,1499759749,592603921,0,445,203,78,43,30,36,40,106
2017/07/11/15:55:49.608040,155513,1499759749,607812881,0,463,257,88,43,31,38,42,105
