time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/16:03:38.847917,3041931,1499760222,794077178,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3788932546076972, 1.2613157028387814, -0.8360195293975505, -0.9702428483375242, -0.20401944478876002, 1.1884516154142244, 1.6609176980829317, 0.04716990922747647, 1.8545827725534652, -0.947233136519243, -1.4166312576121796, 0.07171360183364309, 1.215296279202219, -0.1687378866673955, -12.565987119160338)","(0.0, 0.001570796326500243, -0.0047123889795007284, -0.007461282550876154, 0.00039269908162506076, 0.013744467856877126, 0.009424777959001457, 0.0019634954081253035, -0.0007853981632501215, -0.007461282550876154, -0.005890486224375911, 0.0011780972448751821, 0.011388273367126762, -0.0019634954081253035, 0.010995574285501701, -0.012173671530376884, 0.0)","(0.0, 0.0, 3.316, -14.088, 0.592, -22.496, 0.06, -0.084, -0.26, 1.248, -14.34, 0.028, -23.064, 0.396, 0.532, 0.016, -20.48)"
2017/07/11/16:03:38.848173,842011,1499760222,796000000,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:03:38.849271,842012,1499760222,796999936,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/16:03:38.858017,3041932,1499760222,804063352,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.055223308363874894, 0.3788932546076972, 1.2609322076418101, -0.8364030245945219, -0.9702428483375242, -0.20325245439481732, 1.188068120217253, 1.6609176980829317, 0.04678641403050512, 1.8553497629474078, -0.9480001269131857, -1.4166312576121796, 0.07286408742455715, 1.2164467647931332, -0.16835439147042416, -12.565987119160338)","(0.0, 0.008639379795751335, 0.008246680714126275, -0.00510508806112579, 0.005890486224375911, -0.0007853981632501215, 0.0007853981632501215, 0.0, -0.0035342917346255468, -0.009817477040626518, -0.02513274122400389, 0.021598449489378342, -0.009817477040626518, 0.0, 0.010995574285501701, 0.027881634795379313, 0.0)","(0.0, 0.0, 3.38, -14.088, 0.464, -22.564, 0.052, -0.084, -0.26, 1.124, -14.368, 0.092, -23.064, 0.42, 0.54, 0.016, -20.48)"
2017/07/11/16:03:38.869238,3041933,1499760222,814101866,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.056373793954788955, 0.37850975941072584, 1.2609322076418101, -0.8367865197914932, -0.9698593531405528, -0.20325245439481732, 1.1876846250202815, 1.6605342028859604, 0.047553404424447825, 1.8553497629474078, -0.9476166317162144, -1.417014752809151, 0.0724805922275858, 1.215296279202219, -0.16912138186436687, -12.565987119160338)","(0.0, 0.007853981632501214, -0.0035342917346255468, 0.0047123889795007284, 0.01021017612225158, 0.009032078877376396, 0.010995574285501701, -0.0011780972448751821, -0.012566370612001944, 0.0070685834692510935, 0.006675884387626033, -0.011388273367126762, -0.01021017612225158, 0.003926990816250607, 0.011388273367126762, 0.01649336142825255, 0.0)","(0.0, 0.0, 3.38, -14.088, 0.528, -22.564, 0.052, -0.064, -0.268, 1.184, -14.308, -0.124, -23.004, 0.396, 0.54, 0.028, -20.48)"
2017/07/11/16:03:38.878124,3041934,1499760222,824069600,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.056373793954788955, 0.3788932546076972, 1.2613157028387814, -0.8360195293975505, -0.9698593531405528, -0.20363594959178868, 1.188068120217253, 1.661301193279903, 0.04716990922747647, 1.8549662677504366, -0.9480001269131857, -1.4177817432030937, 0.0724805922275858, 1.2149127840052476, -0.16912138186436687, -12.565987119160338)","(0.0, -0.023169245815878585, -0.006675884387626033, 0.006675884387626033, 0.023954643979128706, 0.008639379795751335, -0.012173671530376884, -0.014922565101752308, 0.0035342917346255468, -0.01060287520387664, 0.023561944897503646, 0.0023561944897503642, -0.018064157754752792, -0.012959069693627005, -0.0019634954081253035, -0.003926990816250607, 0.0)","(0.0, 0.0, 3.316, -14.116, 0.592, -22.596, 0.068, -0.084, -0.268, 1.092, -14.34, 0.092, -23.032, 0.412, 0.552, 0.016, -20.48)"
2017/07/11/16:03:38.888130,3041935,1499760222,834098708,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3788932546076972, 1.2613157028387814, -0.8360195293975505, -0.9698593531405528, -0.20363594959178868, 1.188068120217253, 1.6605342028859604, 0.04678641403050512, 1.8553497629474078, -0.9480001269131857, -1.417014752809151, 0.0724805922275858, 1.2149127840052476, -0.16912138186436687, -12.565987119160338)","(0.0, 0.008246680714126275, -0.003926990816250607, 0.009032078877376396, 0.0019634954081253035, 0.0011780972448751821, -0.0070685834692510935, 0.0011780972448751821, 0.01021017612225158, -0.0070685834692510935, -0.0007853981632501215, -0.014137166938502187, -0.0007853981632501215, -0.010995574285501701, -0.023169245815878585, 0.007853981632501214, 0.0)","(0.0, 0.0, 3.476, -14.148, 0.436, -22.628, 0.06, -0.104, -0.268, 1.092, -14.34, 0.0, -22.944, 0.396, 0.52, 0.036, -20.48)"
2017/07/11/16:03:38.897828,3041936,1499760222,844067088,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3788932546076972, 1.2609322076418101, -0.8360195293975505, -0.9702428483375242, -0.20325245439481732, 1.1876846250202815, 1.6609176980829317, 0.04678641403050512, 1.8549662677504366, -0.9476166317162144, -1.4166312576121796, 0.07209709703061444, 1.2156797743991905, -0.16912138186436687, -12.565987119160338)","(0.0, 0.01060287520387664, 0.009424777959001457, 0.008246680714126275, -0.009424777959001457, -0.008639379795751335, -0.007461282550876154, 0.006675884387626033, -0.008246680714126275, -0.009817477040626518, -0.024740042142378828, 0.00510508806112579, 0.023954643979128706, 0.0007853981632501215, 0.007461282550876154, -0.01610066234662749, 0.0)","(0.0, 0.0, 3.348, -14.18, 0.62, -22.628, 0.052, -0.096, -0.28, 1.06, -14.28, 0.092, -23.032, 0.396, 0.532, 0.036, -20.48)"
2017/07/11/16:03:38.897957,842013,1499760222,846000128,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:03:38.898568,842014,1499760222,847000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
