time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/15:25:33.866643,2813433,1499757937,813857950,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.37582529303192636, 1.2616991980357528, -0.8375535101854359, -0.9702428483375242, -0.2017184736069319, 1.1919030721869666, 1.6628351740677885, 0.04563592843959106, 1.8545827725534652, -0.9476166317162144, -1.4166312576121796, 0.0724805922275858, 1.2156797743991905, -0.1695048770613382, -12.565987119160338)","(0.0, -0.0007853981632501215, 0.005497787142750851, 0.003926990816250607, -0.0070685834692510935, 0.0019634954081253035, -0.012173671530376884, 0.023169245815878585, 0.0035342917346255468, -0.01767145867312773, -0.009817477040626518, -0.015707963265002428, -0.0023561944897503642, 0.012566370612001944, -0.01531526418337737, -0.007461282550876154, 0.0)","(0.0, 0.0, 3.476, -13.992, 0.872, -22.368, 0.164, -0.096, -0.456, 1.248, -14.34, -0.028, -23.004, 0.376, 0.52, 0.084, -20.48)"
2017/07/11/15:25:33.871865,650302,1499757937,820999936,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/15:25:33.876798,2813434,1499757937,823867302,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37582529303192636, 1.2620826932327243, -0.8367865197914932, -0.9698593531405528, -0.20286895919784598, 1.1911360817930239, 1.6624516788708172, 0.04678641403050512, 1.8549662677504366, -0.947233136519243, -1.417014752809151, 0.07286408742455715, 1.2156797743991905, -0.1695048770613382, -12.565987119160338)","(0.0, -0.004319689897875668, 0.009424777959001457, -0.0035342917346255468, 0.0027488935713754254, -0.007461282550876154, -0.006675884387626033, -0.0070685834692510935, -0.0007853981632501215, 0.0023561944897503642, 0.006675884387626033, -0.01021017612225158, -0.004319689897875668, 0.014137166938502187, 0.009817477040626518, 0.003141592653000486, 0.0)","(0.0, 0.0, 3.284, -13.932, 0.808, -22.4, 0.156, -0.084, -0.476, 1.248, -14.368, 0.0, -22.972, 0.368, 0.512, 0.064, -20.48)"
2017/07/11/15:25:33.877354,650303,1499757937,825999872,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/15:25:33.886569,2813435,1499757937,833815862,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.056373793954788955, 0.37582529303192636, 1.2620826932327243, -0.8367865197914932, -0.9698593531405528, -0.20210196880390327, 1.1911360817930239, 1.6628351740677885, 0.04563592843959106, 1.8545827725534652, -0.9480001269131857, -1.417014752809151, 0.07209709703061444, 1.2172137551870759, -0.1695048770613382, -12.565987119160338)","(0.0, 0.003141592653000486, 0.007853981632501214, -0.005497787142750851, 0.0019634954081253035, 0.005890486224375911, -0.0027488935713754254, -0.0027488935713754254, 0.011780972448751823, 0.008246680714126275, -0.010995574285501701, 0.019242254999627974, -0.0023561944897503642, 0.008639379795751335, 0.007461282550876154, 0.0027488935713754254, 0.0)","(0.0, 0.0, 3.284, -13.96, 0.996, -22.336, 0.164, -0.096, -0.476, 1.184, -14.368, 0.092, -23.004, 0.368, 0.52, 0.072, -20.48)"
2017/07/11/15:25:33.896317,2813436,1499757937,843857868,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.375441797834955, 1.2616991980357528, -0.8367865197914932, -0.9698593531405528, -0.20133497840996056, 1.1911360817930239, 1.6628351740677885, 0.046402918833533764, 1.8545827725534652, -0.9476166317162144, -1.4173982480061222, 0.0732475826215285, 1.2160632695961617, -0.1695048770613382, -12.565987119160338)","(0.0, 0.00039269908162506076, -0.009424777959001457, -0.007853981632501214, -0.007853981632501214, 0.0023561944897503642, 0.023169245815878585, 0.0047123889795007284, 0.00510508806112579, 0.003926990816250607, -0.015707963265002428, 0.0019634954081253035, -0.005890486224375911, -0.014922565101752308, 0.009817477040626518, -0.014922565101752308, 0.0)","(0.0, 0.0, 3.412, -13.868, 0.9, -22.368, 0.148, -0.096, -0.464, 1.184, -14.34, -0.028, -22.972, 0.36, 0.54, 0.072, -20.48)"
2017/07/11/15:25:33.906358,2813437,1499757937,853859020,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.055223308363874894, 0.37582529303192636, 1.2616991980357528, -0.8371700149884646, -0.9706263435344955, -0.20210196880390327, 1.1911360817930239, 1.66321866926476, 0.04678641403050512, 1.8553497629474078, -0.9476166317162144, -1.4173982480061222, 0.0724805922275858, 1.2156797743991905, -0.1695048770613382, -12.565987119160338)","(0.0, 0.008639379795751335, -0.013351768775252066, -0.019242254999627974, -0.018064157754752792, -0.018849555918002914, -0.0007853981632501215, 0.004319689897875668, -0.01060287520387664, -0.009032078877376396, 0.006283185306000972, 0.0023561944897503642, 0.0035342917346255468, 0.012173671530376884, 0.011388273367126762, 0.005497787142750851, 0.0)","(0.0, 0.0, 3.412, -13.932, 0.872, -22.336, 0.164, -0.096, -0.456, 1.216, -14.368, 0.0, -23.004, 0.388, 0.532, 0.072, -20.48)"
2017/07/11/15:25:33.916440,2813438,1499757937,863853443,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37582529303192636, 1.2620826932327243, -0.8371700149884646, -0.9698593531405528, -0.2024854640008746, 1.1911360817930239, 1.66321866926476, 0.04601942363656241, 1.8545827725534652, -0.947233136519243, -1.417014752809151, 0.07209709703061444, 1.215296279202219, -0.16835439147042416, -12.565987119160338)","(0.0, -0.001570796326500243, 0.001570796326500243, 0.029452431121879556, 0.003926990816250607, -0.01531526418337737, -0.01610066234662749, -0.015707963265002428, -0.009817477040626518, 0.012173671530376884, 0.03180862561162992, 0.0011780972448751821, -0.0035342917346255468, -0.011780972448751823, -0.023954643979128706, -0.01649336142825255, 0.0)","(0.0, 0.0, 3.284, -13.868, 0.84, -22.368, 0.156, -0.056, -0.476, 1.216, -14.368, -0.092, -22.972, 0.376, 0.532, 0.064, -20.48)"
2017/07/11/15:25:33.922242,650304,1499757937,871000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/15:25:33.926482,2813439,1499757937,873826729,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3762087882288977, 1.2620826932327243, -0.8371700149884646, -0.9698593531405528, -0.20133497840996056, 1.190369091399081, 1.6636021644617311, 0.04678641403050512, 1.8549662677504366, -0.947233136519243, -1.4162477624152083, 0.07209709703061444, 1.2160632695961617, -0.16988837225830958, -12.565987119160338)","(0.0, -0.00039269908162506076, 0.0011780972448751821, 0.014137166938502187, 0.0035342917346255468, 0.014922565101752308, 0.009032078877376396, -0.029452431121879556, 0.01021017612225158, -0.007461282550876154, -0.01531526418337737, 0.001570796326500243, 0.006675884387626033, 0.0047123889795007284, -0.019242254999627974, 0.006675884387626033, 0.0)","(0.0, 0.0, 3.348, -13.868, 0.84, -22.272, 0.156, -0.056, -0.476, 1.156, -14.368, 0.0, -22.944, 0.368, 0.532, 0.056, -20.48)"
2017/07/11/15:25:33.928262,650305,1499757937,876999936,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
