time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/15:26:35.174816,68000,1499757995,174534082,0,31,95,42,24,22,29,35,37
2017/07/11/15:26:35.197578,68001,1499757995,197400093,0,30,97,42,22,22,26,33,37
2017/07/11/15:26:35.215019,68002,1499757995,214821100,0,31,98,41,21,21,27,25,29
2017/07/11/15:26:35.234794,68003,1499757995,234466075,0,26,96,39,23,19,26,25,27
2017/07/11/15:26:35.257452,68004,1499757995,257091999,0,24,57,28,22,20,27,44,34
2017/07/11/15:26:35.272250,68005,1499757995,272038936,0,27,57,27,22,20,30,45,33
2017/07/11/15:26:35.294921,68006,1499757995,294471979,0,28,67,30,21,22,39,45,40
2017/07/11/15:26:35.317482,68007,1499757995,317194938,0,37,92,37,22,25,40,59,72
2017/07/11/15:26:35.331997,68008,1499757995,331825971,0,43,114,47,22,25,42,62,74
2017/07/11/15:26:35.355917,68009,1499757995,355782985,0,46,129,53,26,26,44,68,79
2017/07/11/15:26:35.376999,68010,1499757995,376859903,0,47,130,58,28,29,43,70,82
2017/07/11/15:26:35.395283,68011,1499757995,394922018,0,59,202,121,41,32,33,73,91
2017/07/11/15:26:35.414437,68012,1499757995,414267063,0,67,203,131,48,34,36,73,72
2017/07/11/15:26:35.437184,68013,1499757995,437071084,0,67,203,135,50,36,35,81,79
2017/07/11/15:26:35.452119,68014,1499757995,451931953,0,74,210,136,57,38,33,73,86
2017/07/11/15:26:35.474381,68015,1499757995,474241971,0,73,259,158,69,43,36,78,102
2017/07/11/15:26:35.497411,68016,1499757995,497272968,0,74,290,146,72,44,37,112,105
2017/07/11/15:26:35.512005,68017,1499757995,511837959,0,72,349,150,75,47,39,163,151
2017/07/11/15:26:35.534779,68018,1499757995,534532070,0,70,369,150,75,50,48,174,159
2017/07/11/15:26:35.556982,68019,1499757995,556797027,0,74,413,157,76,52,52,187,163
2017/07/11/15:26:35.579821,68020,1499757995,579507112,0,97,398,156,69,50,60,234,165
2017/07/11/15:26:35.594748,68021,1499757995,594558000,0,130,466,192,64,50,62,256,207
2017/07/11/15:26:35.617286,68022,1499757995,617053985,0,132,547,322,77,54,65,257,207
2017/07/11/15:26:35.647774,68023,1499757995,647569894,0,243,568,336,86,56,66,262,215
2017/07/11/15:26:35.654868,68024,1499757995,654685020,0,249,592,338,92,61,67,263,221
2017/07/11/15:26:35.676999,68025,1499757995,676819086,0,280,680,442,124,78,82,291,241
2017/07/11/15:26:35.712225,68026,1499757995,711182117,0,281,765,444,127,78,90,308,235
2017/07/11/15:26:35.722690,68027,1499757995,722506999,0,291,727,379,134,84,101,357,294
2017/07/11/15:26:35.745388,68028,1499757995,745234966,0,227,729,384,130,82,106,363,299
2017/07/11/15:26:35.759416,68029,1499757995,759308099,0,227,712,406,131,84,119,423,379
2017/07/11/15:26:35.775235,68030,1499757995,774893999,0,205,707,328,134,91,123,426,410
2017/07/11/15:26:35.806566,68031,1499757995,806417942,0,209,597,334,135,101,126,442,426
2017/07/11/15:26:35.819741,68032,1499757995,819421052,0,212,610,372,127,103,125,435,407
2017/07/11/15:26:35.834725,68033,1499757995,834583044,0,201,625,374,132,106,128,449,414
2017/07/11/15:26:35.857285,68034,1499757995,857160091,0,193,616,351,130,104,119,417,337
2017/07/11/15:26:35.879470,68035,1499757995,879302978,0,173,604,340,105,93,109,427,292
2017/07/11/15:26:35.894945,68036,1499757995,894723892,0,168,694,349,118,113,123,433,292
2017/07/11/15:26:35.919169,68037,1499757995,918999910,0,158,664,288,112,106,128,491,285
2017/07/11/15:26:35.939558,68038,1499757995,939306974,0,145,654,278,109,112,129,512,279
2017/07/11/15:26:35.955173,68039,1499757995,954778909,0,149,712,300,110,116,151,619,427
2017/07/11/15:26:35.977077,68040,1499757995,976911067,0,148,679,273,103,110,150,598,435
2017/07/11/15:26:35.999734,68041,1499757995,999496936,0,127,567,236,90,89,140,581,418
2017/07/11/15:26:36.022199,68042,1499757996,21967887,0,117,560,244,92,92,131,501,412
2017/07/11/15:26:36.037438,68043,1499757996,37197113,0,124,556,230,87,85,133,493,429
2017/07/11/15:26:36.059458,68044,1499757996,59309959,0,130,492,203,83,90,147,565,380
2017/07/11/15:26:36.074705,68045,1499757996,74523925,0,130,454,200,84,94,164,609,400
2017/07/11/15:26:36.096902,68046,1499757996,96801996,0,134,415,180,81,85,158,601,396
2017/07/11/15:26:36.119778,68047,1499757996,119585990,0,129,461,170,76,83,168,671,415
2017/07/11/15:26:36.134511,68048,1499757996,134342908,0,129,415,166,77,83,167,695,438
2017/07/11/15:26:36.157270,68049,1499757996,156991958,0,125,449,166,73,80,134,532,372
2017/07/11/15:26:36.180066,68050,1499757996,179833889,0,114,454,150,71,83,116,470,367
2017/07/11/15:26:36.194455,68051,1499757996,194317102,0,118,458,171,65,83,116,471,407
2017/07/11/15:26:36.218246,68052,1499757996,218117952,0,120,394,170,65,83,96,412,381
2017/07/11/15:26:36.239588,68053,1499757996,239424943,0,113,396,175,65,81,99,385,347
2017/07/11/15:26:36.255400,68054,1499757996,254744052,0,124,378,177,63,73,93,379,346
2017/07/11/15:26:36.276931,68055,1499757996,276791095,0,135,396,181,67,78,119,433,354
2017/07/11/15:26:36.299704,68056,1499757996,299493074,0,133,447,178,68,88,134,444,341
2017/07/11/15:26:36.314875,68057,1499757996,314629077,0,134,432,175,73,87,135,413,337
2017/07/11/15:26:36.337108,68058,1499757996,336967945,0,147,481,166,70,85,139,439,377
