time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/16:20:14.196651,227373,1499761214,196188926,0,2833,4197,9646,12236,410,1829,319
2017/07/11/16:20:14.211036,227374,1499761214,210689067,0,2825,4203,9650,12233,341,2043,283
2017/07/11/16:20:14.233894,227375,1499761214,233560085,0,2831,4204,9616,12258,374,1986,319
2017/07/11/16:20:14.248770,227376,1499761214,248615026,0,2844,4197,9552,12307,377,1840,366
2017/07/11/16:20:14.271172,227377,1499761214,270895004,0,2859,4191,9497,12348,360,1796,420
2017/07/11/16:20:14.293534,227378,1499761214,293209075,0,2870,4192,9467,12369,383,1772,411
2017/07/11/16:20:14.309107,227379,1499761214,308943033,0,2884,4189,9448,12380,354,1890,396
2017/07/11/16:20:14.348430,227380,1499761214,348229885,0,2904,4178,9413,12407,383,1937,408
2017/07/11/16:20:14.355254,227381,1499761214,355016946,0,2917,4163,9368,12443,378,1802,453
2017/07/11/16:20:14.368536,227382,1499761214,368346929,0,2928,4163,9344,12458,360,1773,448
2017/07/11/16:20:14.390996,227383,1499761214,390778064,0,2926,4173,9348,12452,437,1823,412
2017/07/11/16:20:14.413575,227384,1499761214,413351058,0,2931,4169,9343,12456,405,1950,445
2017/07/11/16:20:14.428225,227385,1499761214,428102016,0,2926,4159,9328,12471,442,1805,459
2017/07/11/16:20:14.451485,227386,1499761214,451128005,0,2927,4142,9324,12479,432,1817,441
2017/07/11/16:20:14.474051,227387,1499761214,473592042,0,2933,4119,9335,12478,395,1830,456
2017/07/11/16:20:14.488684,227388,1499761214,488455057,0,2934,4101,9357,12467,416,1894,388
2017/07/11/16:20:14.510968,227389,1499761214,510767936,0,2933,4077,9381,12457,402,1965,370
2017/07/11/16:20:14.533864,227390,1499761214,533554077,0,2934,4043,9393,12458,381,1964,440
2017/07/11/16:20:14.556046,227391,1499761214,555840015,0,2919,3997,9396,12475,514,1826,539
2017/07/11/16:20:14.571381,227392,1499761214,570996999,0,2909,3936,9414,12483,328,1892,417
2017/07/11/16:20:14.593424,227393,1499761214,593127012,0,2907,3857,9461,12472,306,2013,466
2017/07/11/16:20:14.614554,227394,1499761214,609946966,0,2907,3774,9523,12451,242,2080,479
2017/07/11/16:20:14.631185,227395,1499761214,630944967,0,2891,3674,9568,12450,301,2131,539
2017/07/11/16:20:14.653761,227396,1499761214,653588056,0,2866,3548,9593,12473,319,2163,531
2017/07/11/16:20:14.668429,227397,1499761214,668195962,0,2848,3392,9588,12524,155,2280,575
2017/07/11/16:20:14.690717,227398,1499761214,690557956,0,2859,3224,9613,12547,13,2041,473
2017/07/11/16:20:14.713802,227399,1499761214,713356971,0,2872,3044,9663,12551,89,2006,558
2017/07/11/16:20:14.729206,227400,1499761214,728605985,0,2890,2847,9752,12524,-73,2145,525
2017/07/11/16:20:14.751022,227401,1499761214,750802993,0,2912,2631,9833,12503,-69,2247,543
2017/07/11/16:20:14.773403,227402,1499761214,773221015,0,2941,2410,9895,12492,-151,2159,460
2017/07/11/16:20:14.788995,227403,1499761214,788805961,0,2970,2187,9958,12476,-146,2033,442
2017/07/11/16:20:14.811401,227404,1499761214,810961961,0,3011,1966,10045,12433,-270,2001,419
2017/07/11/16:20:14.833225,227405,1499761214,833091974,0,3058,1750,10141,12376,-256,2039,433
2017/07/11/16:20:14.848282,227406,1499761214,848081111,0,3094,1540,10224,12326,-249,2046,428
2017/07/11/16:20:14.871114,227407,1499761214,870878934,0,3129,1330,10307,12273,-327,1988,384
2017/07/11/16:20:14.893671,227408,1499761214,893471956,0,3182,1122,10389,12211,-399,1945,356
2017/07/11/16:20:14.909157,227409,1499761214,908782958,0,3246,927,10466,12144,-393,1944,357
2017/07/11/16:20:14.931098,227410,1499761214,930886030,0,3308,742,10544,12072,-434,1927,338
2017/07/11/16:20:14.953901,227411,1499761214,953555107,0,3359,561,10611,12009,-409,1940,354
2017/07/11/16:20:14.976035,227412,1499761214,975781917,0,3412,378,10670,11949,-515,1885,325
2017/07/11/16:20:14.991455,227413,1499761214,991156101,0,3469,201,10732,11881,-590,1857,286
2017/07/11/16:20:15.013398,227414,1499761215,13180017,0,3539,32,10795,11805,-654,1879,257
2017/07/11/16:20:15.037255,227415,1499761215,36231040,0,3611,-127,10852,11730,-635,1836,278
2017/07/11/16:20:15.051015,227416,1499761215,50726890,0,3676,-278,10899,11663,-650,1818,250
2017/07/11/16:20:15.075610,227417,1499761215,75350046,0,3748,-425,10944,11594,-756,1831,203
2017/07/11/16:20:15.095771,227418,1499761215,95578908,0,3819,-563,10986,11524,-766,1859,182
2017/07/11/16:20:15.110740,227419,1499761215,110564947,0,3881,-697,11012,11471,-735,1868,218
2017/07/11/16:20:15.133576,227420,1499761215,133272886,0,3939,-832,11016,11439,-805,1782,198
