%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.name9,field.name10,field.name11,field.name12,field.name13,field.name14,field.name15,field.name16,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.velocity7,field.velocity8,field.velocity9,field.velocity10,field.velocity11,field.velocity12,field.velocity13,field.velocity14,field.velocity15,field.velocity16,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6,field.effort7,field.effort8,field.effort9,field.effort10,field.effort11,field.effort12,field.effort13,field.effort14,field.effort15,field.effort16
1499760750188070325,3095065,1499760754133876042,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0556068035608,0.370072865077,1.26860211158,-0.851359337276,-0.965257410777,-0.21015536794,1.18845161541,1.66015070769,0.0471699092275,1.85458277255,-0.947616631716,-1.41663125761,0.0717136018336,1.21644676479,-0.167587401076,-12.5659871192,0.0,0.00981747704063,-0.0714712328558,0.0522289778561,-0.0357356164279,0.00706858346925,-0.053407075101,-0.0557632695908,-0.00078539816325,-0.0109955742855,0.00117809724488,0.00981747704063,-0.0180641577548,0.003141592653,0.00353429173463,-0.00353429173463,0.0,0.0,0.0,3.888,-14.272,0.996,-24.312,0.444,-0.116,-0.26,1.06,-14.308,0.092,-23.124,0.388,0.572,0.044,-20.48
1499760750193769677,907801,1499760754140999936,,r_gripper_l_finger_joint,0.0200144707441,0.0,0.0
1499760750198079581,3095066,1499760754143874197,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0556068035608,0.369305874683,1.26975259717,-0.851359337276,-0.965640905974,-0.210922358334,1.18768462502,1.66015070769,0.0460194236366,1.85419927736,-0.947616631716,-1.41663125761,0.0724805922276,1.2156797744,-0.167587401076,-12.5659871192,0.0,-0.0047123889795,-0.113097335508,0.115846229079,-0.0149225651018,-0.00274889357138,-0.102887159386,-0.119380520814,-0.00353429173463,0.0141371669385,0.00549778714275,-0.006283185306,0.00235619448975,-0.012566370612,0.0102101761223,-0.0168860605099,0.0,0.0,0.0,3.732,-14.116,0.996,-24.312,0.328,0.076,-0.28,1.06,-14.308,0.06,-23.156,0.376,0.58,0.036,-20.48
1499760750208111125,3095067,1499760754153880300,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0556068035608,0.368538884289,1.27051958757,-0.850975842079,-0.965257410777,-0.212456339122,1.18615064423,1.66091769808,0.0467864140305,1.85343228696,-0.948000126913,-1.41701475281,0.0732475826215,1.2152962792,-0.167970896273,-12.5659871192,0.0,-0.0149225651018,-0.110348441937,0.119380520814,0.009424777959,-0.006283185306,-0.106814150202,-0.147654854691,0.00981747704063,-0.0106028752039,-0.00981747704063,-0.00589048622438,0.00746128255088,0.0164933614283,0.0259181393873,0.0,0.0,0.0,0.0,3.92,-14.428,1.056,-24.184,0.216,0.116,-0.28,1.06,-14.34,0.152,-23.064,0.376,0.54,0.036,-20.48
1499760750217781831,3095068,1499760754163854276,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0559902987578,0.367771893896,1.27320405394,-0.85212632767,-0.966791391565,-0.213606824713,1.18384967305,1.66091769808,0.0464029188335,1.85381578216,-0.947233136519,-1.41663125761,0.0724805922276,1.21683025999,-0.16835439147,-12.5659871192,0.0,-0.0047123889795,-0.0969966731614,0.1303760951,0.0176714586731,-0.00981747704063,-0.0883572933656,-0.143727863875,-0.0168860605099,-0.0106028752039,-0.0141371669385,-0.0106028752039,0.0,0.0164933614283,0.00510508806113,-0.0117809724488,0.0,0.0,0.0,4.112,-14.708,0.872,-24.152,0.188,0.124,-0.268,1.184,-14.4,0.184,-23.096,0.36,0.52,0.044,-20.48
1499760750224885450,907802,1499760754172000000,,l_gripper_l_finger_joint,0.02083,0.0,0.0
1499760750228109635,3095069,1499760754173880557,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0552233083639,0.367388398699,1.27397104434,-0.851742832473,-0.965257410777,-0.214757310304,1.18269918746,1.66091769808,0.0471699092275,1.85419927736,-0.947616631716,-1.41624776242,0.0724805922276,1.2156797744,-0.167970896273,-12.5659871192,0.0,-0.00078539816325,-0.0801106126515,0.154330739079,-0.0337721210198,-0.0117809724488,-0.143727863875,-0.115060830916,0.0227765467343,0.00746128255088,0.0149225651018,0.00863937979575,-0.006283185306,-0.00510508806113,0.0137444678569,0.00510508806113,0.0,0.0,0.0,4.176,-14.772,-0.528,-24.248,0.296,0.104,-0.308,1.06,-14.46,0.06,-23.064,0.368,0.532,0.056,-20.48
1499760750237887984,3095070,1499760754183904372,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0559902987578,0.367388398699,1.27550502513,-0.853276813261,-0.966024401171,-0.21782527188,1.18231569226,1.66130119328,0.0471699092275,1.85458277255,-0.947233136519,-1.41739824801,0.0717136018336,1.2156797744,-0.168737886667,-12.5659871192,0.0,-0.012566370612,-0.034557519183,0.160613924385,-0.0514435796929,0.00117809724488,-0.184568568364,-0.121344016222,0.0274889357138,0.0200276531629,0.0168860605099,-0.0141371669385,0.00863937979575,-0.00706858346925,0.0117809724488,-0.00706858346925,0.0,0.0,0.0,3.764,-14.616,-1.464,-24.216,0.46,0.116,-0.336,1.156,-14.488,0.028,-23.032,0.404,0.512,0.056,-20.48
1499760750243796515,907803,1499760754191000064,,r_gripper_l_finger_joint,0.0200144707441,0.0,0.0
1499760750247748376,3095071,1499760754193862620,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0563737939548,0.367771893896,1.27665551072,-0.853660308458,-0.966024401171,-0.220126243062,1.18078171147,1.66091769808,0.0471699092275,1.85458277255,-0.947233136519,-1.41624776242,0.0720970970306,1.21644676479,-0.16835439147,-12.5659871192,0.0,0.015707963265,0.00589048622438,0.163755517038,-0.0926769832635,-0.00667588438763,-0.247400421424,-0.140978970303,0.0247400421424,0.00549778714275,0.00392699081625,0.0153152641834,-0.006283185306,-0.0102101761223,-0.012566370612,-0.00353429173463,0.0,0.0,0.0,3.508,-14.492,-1.588,-24.216,0.528,0.116,-0.308,1.028,-14.428,-0.06,-23.124,0.452,0.532,0.028,-20.48
