time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/16:14:01.848265,3104231,1499760845,794047893,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37850975941072584, 1.2609322076418101, -0.8394709861702927, -0.9706263435344955, -0.20555342557664544, 1.1876846250202815, 1.6616846884768743, 0.04716990922747647, 1.8561167533413507, -0.9476166317162144, -1.4166312576121796, 0.07209709703061444, 1.2156797743991905, -0.16758740107648146, -12.565987119160338)","(0.0, 0.0027488935713754254, -0.014922565101752308, 0.012566370612001944, -0.021991148571003403, 0.01531526418337737, -0.010995574285501701, 0.01610066234662749, 0.009032078877376396, -0.0011780972448751821, -0.012959069693627005, 0.015707963265002428, -0.008639379795751335, 0.005497787142750851, 0.02591813938725401, 0.012173671530376884, 0.0)","(0.0, 0.0, 4.016, -14.24, 0.716, -22.756, 0.336, 0.104, -0.28, 1.092, -14.308, 0.124, -23.064, 0.376, 0.54, 0.056, -20.48)"
2017/07/11/16:14:01.852243,922481,1499760845,800000000,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:14:01.852441,922482,1499760845,800000000,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/16:14:01.858466,3104232,1499760845,804065111,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3781262642137545, 1.2609322076418101, -0.8390874909733214, -0.9698593531405528, -0.20632041597058814, 1.1876846250202815, 1.6620681836738458, 0.04793689962141918, 1.8557332581443793, -0.9476166317162144, -1.417014752809151, 0.07171360183364309, 1.215296279202219, -0.16835439147042416, -12.565987119160338)","(0.0, 0.0, -0.02081305132612822, 0.0047123889795007284, 0.0035342917346255468, 0.001570796326500243, -0.006283185306000972, 0.0070685834692510935, 0.010995574285501701, -0.015707963265002428, 0.007461282550876154, -0.01688606050987761, -0.0007853981632501215, 0.0019634954081253035, 0.02631083846887907, -0.014529866020127248, 0.0)","(0.0, 0.0, 4.144, -14.212, 0.776, -22.528, 0.364, 0.116, -0.28, 1.124, -14.28, 0.0, -23.032, 0.388, 0.54, 0.044, -20.48)"
2017/07/11/16:14:01.868204,3104233,1499760845,814064834,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3788932546076972, 1.2613157028387814, -0.839854481367264, -0.9694758579435815, -0.2051699303796741, 1.188068120217253, 1.6620681836738458, 0.04793689962141918, 1.8557332581443793, -0.947233136519243, -1.4173982480061222, 0.07209709703061444, 1.215296279202219, -0.16835439147042416, -12.565987119160338)","(0.0, 0.005497787142750851, 0.008639379795751335, -0.009032078877376396, 0.0047123889795007284, 0.01610066234662749, 0.00039269908162506076, -0.005497787142750851, 0.003926990816250607, 0.018064157754752792, 0.0329867228565051, 0.0027488935713754254, -0.0035342917346255468, -0.0070685834692510935, 0.0070685834692510935, -0.012173671530376884, 0.0)","(0.0, 0.0, 4.144, -14.24, 0.808, -22.496, 0.372, 0.104, -0.268, 1.092, -14.34, 0.184, -23.004, 0.376, 0.532, 0.044, -20.48)"
2017/07/11/16:14:01.878608,3104234,1499760845,824049938,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.055223308363874894, 0.3788932546076972, 1.2605487124448387, -0.839854481367264, -0.9702428483375242, -0.20555342557664544, 1.1876846250202815, 1.6620681836738458, 0.04716990922747647, 1.8557332581443793, -0.9468496413222717, -1.417014752809151, 0.07209709703061444, 1.2172137551870759, -0.16835439147042416, -12.565987119160338)","(0.0, -0.008246680714126275, -0.009817477040626518, -0.00510508806112579, -0.0310232274483798, 0.024347343060753767, 0.014922565101752308, -0.0027488935713754254, -0.009817477040626518, 0.007461282550876154, 0.0047123889795007284, 0.0047123889795007284, 0.01688606050987761, 0.0035342917346255468, -0.012959069693627005, 0.021598449489378342, 0.0)","(0.0, 0.0, 4.112, -14.212, 0.716, -22.564, 0.372, 0.124, -0.288, 0.968, -14.34, 0.028, -22.972, 0.396, 0.54, 0.036, -20.48)"
2017/07/11/16:14:01.888045,3104235,1499760845,834024962,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.37850975941072584, 1.2609322076418101, -0.8402379765642354, -0.9690923627466101, -0.20555342557664544, 1.188068120217253, 1.6620681836738458, 0.047553404424447825, 1.8553497629474078, -0.948383622110157, -1.417014752809151, 0.07209709703061444, 1.215296279202219, -0.1679708962734528, -12.565987119160338)","(0.0, 0.0047123889795007284, 0.011780972448751823, 0.0047123889795007284, -0.028667032958629435, 0.022776546734253524, -0.024740042142378828, -0.029452431121879556, 0.009817477040626518, 0.006283185306000972, -0.019634954081253035, -0.0070685834692510935, 0.0027488935713754254, 0.01021017612225158, 0.009424777959001457, -0.009032078877376396, 0.0)","(0.0, 0.0, 4.144, -14.272, 0.808, -22.692, 0.38, 0.116, -0.28, 1.156, -14.34, 0.06, -23.004, 0.388, 0.54, 0.044, -20.48)"
2017/07/11/16:14:01.898251,3104236,1499760845,844065576,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.05560680356084625, 0.3788932546076972, 1.2613157028387814, -0.8406214717612067, -0.9687088675496388, -0.20632041597058814, 1.1873011298233103, 1.6616846884768743, 0.04678641403050512, 1.8557332581443793, -0.9468496413222717, -1.4177817432030937, 0.07171360183364309, 1.215296279202219, -0.16835439147042416, -12.565987119160338)","(0.0, 0.008639379795751335, 0.0047123889795007284, 0.003926990816250607, -0.029059732040254495, 0.034164820101380285, -0.008639379795751335, -0.009032078877376396, -0.00510508806112579, -0.011780972448751823, -0.021991148571003403, -0.005890486224375911, -0.00039269908162506076, -0.01767145867312773, -0.011388273367126762, -0.008639379795751335, 0.0)","(0.0, 0.0, 4.08, -14.24, 0.9, -22.82, 0.4, 0.132, -0.26, 1.06, -14.34, 0.092, -22.972, 0.388, 0.572, 0.056, -20.48)"
2017/07/11/16:14:01.903229,922483,1499760845,851000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/16:14:01.903664,922484,1499760845,851000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
