time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/16:15:23.692472,214088,1499760923,692167997,0,45,37,35,28,97,49,64,48
2017/07/11/16:15:23.712482,214089,1499760923,712366104,0,61,45,36,30,92,47,76,59
2017/07/11/16:15:23.735193,214090,1499760923,734975099,0,89,57,37,37,149,53,76,71
2017/07/11/16:15:23.752013,214091,1499760923,751852989,0,116,67,46,43,162,52,85,102
2017/07/11/16:15:23.773242,214092,1499760923,772732973,0,118,73,48,43,167,57,84,108
2017/07/11/16:15:23.795244,214093,1499760923,795053958,0,118,75,50,44,169,60,78,111
2017/07/11/16:15:23.810742,214094,1499760923,810307979,0,115,75,58,49,172,107,75,117
2017/07/11/16:15:23.841543,214095,1499760923,841407060,0,101,87,60,49,116,104,88,129
2017/07/11/16:15:23.855037,214096,1499760923,854876995,0,63,82,57,46,88,106,91,124
2017/07/11/16:15:23.870437,214097,1499760923,870238065,0,65,77,56,44,75,105,90,131
2017/07/11/16:15:23.894287,214098,1499760923,894052982,0,70,90,54,44,62,104,93,131
2017/07/11/16:15:23.915312,214099,1499760923,915029048,0,92,98,56,38,46,66,96,125
2017/07/11/16:15:23.932078,214100,1499760923,931902885,0,92,89,58,56,48,98,95,105
2017/07/11/16:15:23.953132,214101,1499760923,952681064,0,108,100,58,59,49,97,89,97
2017/07/11/16:15:23.975013,214102,1499760923,974872112,0,172,140,90,68,53,103,88,92
2017/07/11/16:15:23.990312,214103,1499760923,990011930,0,177,140,92,68,54,109,88,95
2017/07/11/16:15:24.012750,214104,1499760924,12598991,0,170,137,88,68,55,106,83,98
2017/07/11/16:15:24.035823,214105,1499760924,35598993,0,190,136,86,52,41,75,92,96
2017/07/11/16:15:24.050187,214106,1499760924,50024032,0,186,131,86,50,37,84,97,97
2017/07/11/16:15:24.074819,214107,1499760924,74335098,0,168,118,61,38,29,77,99,101
2017/07/11/16:15:24.095181,214108,1499760924,94980955,0,340,134,65,37,31,73,102,105
2017/07/11/16:15:24.110293,214109,1499760924,110115051,0,354,141,72,38,31,71,99,105
2017/07/11/16:15:24.133446,214110,1499760924,133240938,0,361,146,78,35,30,76,78,118
2017/07/11/16:15:24.155479,214111,1499760924,155189037,0,469,164,81,35,33,83,87,123
2017/07/11/16:15:24.170475,214112,1499760924,170124053,0,510,162,77,33,32,92,87,126
