time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/16:15:23.691662,212873,1499760923,691206932,0,4376,4903,9350,11739,240,1989,347
2017/07/11/16:15:23.705531,212874,1499760923,705272912,0,4375,4918,9336,11744,252,1929,344
2017/07/11/16:15:23.727900,212875,1499760923,727602958,0,4362,4941,9333,11741,260,1931,304
2017/07/11/16:15:23.751117,212876,1499760923,750888109,0,4350,4968,9341,11728,265,2048,249
2017/07/11/16:15:23.765873,212877,1499760923,765505075,0,4353,4985,9337,11723,266,2031,301
2017/07/11/16:15:23.780204,212878,1499760923,779989957,0,4362,4997,9322,11726,292,1948,373
2017/07/11/16:15:23.802933,212879,1499760923,802673101,0,4358,5009,9311,11731,297,1918,416
2017/07/11/16:15:23.825544,212880,1499760923,825258970,0,4341,5023,9323,11722,212,1931,361
2017/07/11/16:15:23.842637,212881,1499760923,842222929,0,4329,5038,9353,11696,245,2016,306
2017/07/11/16:15:23.862623,212882,1499760923,862433910,0,4331,5039,9376,11677,334,2022,368
2017/07/11/16:15:23.885498,212883,1499760923,885232925,0,4329,5021,9394,11671,476,1980,450
2017/07/11/16:15:23.900769,212884,1499760923,900295972,0,4317,4969,9425,11672,315,1915,425
2017/07/11/16:15:23.923201,212885,1499760923,922832012,0,4302,4897,9482,11662,282,1963,372
2017/07/11/16:15:23.945558,212886,1499760923,945298910,0,4273,4799,9557,11653,340,2062,386
2017/07/11/16:15:23.960896,212887,1499760923,960609912,0,4235,4639,9612,11686,287,2263,383
2017/07/11/16:15:23.983696,212888,1499760923,983349084,0,4229,4505,9695,11672,102,2218,175
2017/07/11/16:15:24.005315,212889,1499760924,5039930,0,4217,4348,9769,11674,207,2071,393
2017/07/11/16:15:24.020465,212890,1499760924,20299911,0,4215,4158,9836,11688,118,2015,445
2017/07/11/16:15:24.043095,212891,1499760924,42794942,0,4220,3952,9931,11677,-72,2097,315
2017/07/11/16:15:24.073818,212892,1499760924,73446989,0,4231,3745,10038,11649,-102,2141,273
