time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ch0,.ch1,.ch2,.ch3,.ch4,.ch5,.ch6,.ch7
2017/07/11/15:50:08.313763,138485,1499759408,313666105,0,404,248,93,43,78,32,52,222
2017/07/11/15:50:08.327604,138486,1499759408,327306032,0,493,280,122,47,82,33,55,252
2017/07/11/15:50:08.350380,138487,1499759408,349997043,0,424,299,110,47,84,33,51,205
2017/07/11/15:50:08.373677,138488,1499759408,373462915,0,437,296,108,49,86,34,48,193
2017/07/11/15:50:08.387476,138489,1499759408,387253046,0,463,315,113,56,88,33,46,172
2017/07/11/15:50:08.417075,138490,1499759408,416899919,0,449,331,129,59,57,34,47,175
2017/07/11/15:50:08.456273,138491,1499759408,454648971,0,301,297,104,58,53,33,40,117
2017/07/11/15:50:08.456290,138492,1499759408,455984115,0,363,243,107,60,51,33,39,112
2017/07/11/15:50:08.469743,138493,1499759408,469485044,0,342,236,108,60,47,35,38,115
2017/07/11/15:50:08.492652,138494,1499759408,492394924,0,307,250,117,55,45,35,39,121
2017/07/11/15:50:08.507854,138495,1499759408,507591962,0,350,223,94,58,48,45,38,122
2017/07/11/15:50:08.529676,138496,1499759408,529453992,0,416,275,98,58,53,46,42,129
2017/07/11/15:50:08.552341,138497,1499759408,552052974,0,400,269,100,56,51,47,44,140
2017/07/11/15:50:08.568622,138498,1499759408,568361997,0,401,280,106,55,51,49,50,156
2017/07/11/15:50:08.597441,138499,1499759408,597194910,0,407,315,125,64,89,51,50,148
2017/07/11/15:50:08.612708,138500,1499759408,612459897,0,397,375,135,63,87,51,53,143
2017/07/11/15:50:08.627196,138501,1499759408,627032995,0,366,360,135,74,98,66,57,140
2017/07/11/15:50:08.651160,138502,1499759408,650966882,0,506,373,145,93,116,74,59,168
2017/07/11/15:50:08.682185,138503,1499759408,681829929,0,623,429,154,103,120,83,61,171
2017/07/11/15:50:08.687331,138504,1499759408,687138080,0,647,422,141,101,102,88,61,176
2017/07/11/15:50:08.709491,138505,1499759408,709323883,0,681,369,135,102,122,93,58,180
2017/07/11/15:50:08.732683,138506,1499759408,732409000,0,684,362,133,93,130,95,57,173
2017/07/11/15:50:08.748569,138507,1499759408,748298883,0,595,352,123,76,127,91,56,137
2017/07/11/15:50:08.769786,138508,1499759408,769571065,0,532,309,123,76,135,83,49,112
2017/07/11/15:50:08.792069,138509,1499759408,791918992,0,538,324,125,83,145,88,57,104
2017/07/11/15:50:08.807528,138510,1499759408,807344913,0,625,462,173,97,130,91,61,127
2017/07/11/15:50:08.830093,138511,1499759408,829826116,0,629,471,185,106,129,86,62,145
2017/07/11/15:50:08.852739,138512,1499759408,852415084,0,667,511,194,110,205,89,62,160
2017/07/11/15:50:08.868428,138513,1499759408,867908000,0,648,500,191,112,221,97,66,165
2017/07/11/15:50:08.889532,138514,1499759408,889363050,0,656,497,185,112,224,106,64,181
2017/07/11/15:50:08.912479,138515,1499759408,912139892,0,576,398,158,97,229,105,64,173
2017/07/11/15:50:08.927574,138516,1499759408,927412986,0,613,385,146,89,245,101,61,172
2017/07/11/15:50:08.950086,138517,1499759408,949805021,0,557,336,140,93,199,102,65,189
2017/07/11/15:50:08.972728,138518,1499759408,972383975,0,666,373,134,95,182,95,61,192
2017/07/11/15:50:08.987082,138519,1499759408,986891031,0,689,340,132,93,171,80,57,190
2017/07/11/15:50:09.009844,138520,1499759409,9592056,0,669,347,124,91,166,66,60,203
2017/07/11/15:50:09.032669,138521,1499759409,32227993,0,639,359,126,93,131,64,60,194
