time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2017/07/11/15:52:17.717669,2973818,1499759541,663621899,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3792767498046685, 1.259781722050896, -0.8371700149884646, -0.9717768291254096, -0.20363594959178868, 1.189218605808167, 1.661301193279903, 0.04678641403050512, 1.854199277356494, -0.947233136519243, -1.4162477624152083, 0.07209709703061444, 1.2168302599901044, -0.1687378866673955, -12.565987119160338)","(0.0, -0.008639379795751335, 0.0, -0.007853981632501214, 0.005497787142750851, -0.019634954081253035, -0.012959069693627005, 0.014137166938502187, -0.0019634954081253035, -0.0011780972448751821, -0.003926990816250607, 0.0011780972448751821, 0.008639379795751335, -0.012959069693627005, -0.01688606050987761, -0.008639379795751335, 0.0)","(0.0, 0.0, 3.22, -14.18, 0.308, -22.82, 0.04, -0.116, -0.212, 1.216, -14.248, 0.124, -22.972, 0.368, 0.56, 0.056, -20.48)"
2017/07/11/15:52:17.727013,2973819,1499759541,673621262,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3792767498046685, 1.2601652172478675, -0.8367865197914932, -0.9706263435344955, -0.20401944478876002, 1.1888351106111956, 1.6605342028859604, 0.046402918833533764, 1.8545827725534652, -0.9476166317162144, -1.417014752809151, 0.07209709703061444, 1.215296279202219, -0.1679708962734528, -12.565987119160338)","(0.0, -0.013744467856877126, -0.009424777959001457, 0.022383847652628464, -0.003141592653000486, 0.0011780972448751821, -0.009424777959001457, 0.011780972448751823, 0.005497787142750851, 0.0027488935713754254, -0.008639379795751335, -0.009817477040626518, 0.014137166938502187, -0.009424777959001457, -0.014922565101752308, 0.004319689897875668, 0.0)","(0.0, 0.0, 3.252, -14.212, 0.28, -22.888, 0.024, -0.152, -0.232, 1.216, -14.28, 0.0, -23.032, 0.388, 0.58, 0.044, -20.48)"
2017/07/11/15:52:17.733886,767624,1499759541,681999872,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
2017/07/11/15:52:17.737170,2973820,1499759541,683594123,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3792767498046685, 1.2601652172478675, -0.8371700149884646, -0.971009838731467, -0.2044029399857314, 1.1896021010051383, 1.6605342028859604, 0.046402918833533764, 1.8545827725534652, -0.947233136519243, -1.4173982480061222, 0.07209709703061444, 1.215296279202219, -0.16835439147042416, -12.565987119160338)","(0.0, 0.00510508806112579, 0.003141592653000486, 0.015707963265002428, 0.004319689897875668, 0.013351768775252066, -0.015707963265002428, 0.003141592653000486, -0.0007853981632501215, -0.021991148571003403, 0.005890486224375911, 0.0035342917346255468, -0.0007853981632501215, 0.004319689897875668, -0.022383847652628464, 0.0011780972448751821, 0.0)","(0.0, 0.0, 3.38, -14.24, 0.436, -22.82, 0.06, -0.172, -0.232, 1.248, -14.28, -0.028, -23.064, 0.388, 0.572, 0.056, -20.48)"
2017/07/11/15:52:17.747305,2973821,1499759541,693583230,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3796602450016399, 1.259781722050896, -0.8379370053824072, -0.9713933339284383, -0.20401944478876002, 1.189218605808167, 1.661301193279903, 0.04678641403050512, 1.8545827725534652, -0.9480001269131857, -1.4166312576121796, 0.0724805922275858, 1.2149127840052476, -0.16758740107648146, -12.565987119160338)","(0.0, 0.00039269908162506076, -0.003141592653000486, -0.008246680714126275, -0.022383847652628464, -0.00510508806112579, -0.006675884387626033, 0.03455751918300534, -0.004319689897875668, 0.01060287520387664, 0.021991148571003403, -0.003926990816250607, 0.0035342917346255468, -0.005890486224375911, 0.0070685834692510935, 0.003141592653000486, 0.0)","(0.0, 0.0, 3.316, -14.272, 0.464, -22.856, 0.052, -0.232, -0.232, 1.312, -14.34, 0.06, -23.004, 0.404, 0.56, 0.044, -20.48)"
2017/07/11/15:52:17.748801,767625,1499759541,696999936,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)"
2017/07/11/15:52:17.756917,2973822,1499759541,703623457,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3792767498046685, 1.259781722050896, -0.8367865197914932, -0.971009838731467, -0.20363594959178868, 1.189218605808167, 1.6609176980829317, 0.04678641403050512, 1.8545827725534652, -0.947233136519243, -1.4166312576121796, 0.07286408742455715, 1.2156797743991905, -0.16758740107648146, -12.565987119160338)","(0.0, 0.012566370612001944, -0.01021017612225158, 0.014529866020127248, -0.014529866020127248, 0.012959069693627005, 0.023561944897503646, 0.029059732040254495, -0.0007853981632501215, 0.0047123889795007284, -0.005497787142750851, -0.00510508806112579, 0.014529866020127248, -0.006283185306000972, 0.03534291734625546, 0.012959069693627005, 0.0)","(0.0, 0.0, 3.348, -14.336, 0.404, -22.92, 0.052, -0.26, -0.24, 1.248, -14.4, 0.028, -23.064, 0.412, 0.552, 0.064, -20.48)"
2017/07/11/15:52:17.766935,2973823,1499759541,713584120,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.055223308363874894, 0.3788932546076972, 1.2601652172478675, -0.8375535101854359, -0.971009838731467, -0.20363594959178868, 1.1896021010051383, 1.6605342028859604, 0.047553404424447825, 1.854199277356494, -0.9480001269131857, -1.417014752809151, 0.07209709703061444, 1.215296279202219, -0.1679708962734528, -12.565987119160338)","(0.0, 0.0011780972448751821, -0.006675884387626033, -0.006675884387626033, 0.018849555918002914, -0.010995574285501701, -0.001570796326500243, 0.02042035224450316, 0.00510508806112579, -0.0023561944897503642, -0.015707963265002428, 0.009817477040626518, -0.001570796326500243, 0.011388273367126762, 0.02042035224450316, -0.008639379795751335, 0.0)","(0.0, 0.0, 3.476, -14.396, 0.496, -22.952, 0.076, -0.24, -0.232, 1.092, -14.428, 0.0, -22.972, 0.404, 0.54, 0.056, -20.48)"
2017/07/11/15:52:17.777228,2973824,1499759541,723587323,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0559902987578176, 0.3792767498046685, 1.259781722050896, -0.8375535101854359, -0.9698593531405528, -0.2051699303796741, 1.189218605808167, 1.6609176980829317, 0.04716990922747647, 1.8549662677504366, -0.947233136519243, -1.4166312576121796, 0.07209709703061444, 1.2160632695961617, -0.1687378866673955, -12.565987119160338)","(0.0, 0.003926990816250607, -0.006283185306000972, 0.012173671530376884, 0.014137166938502187, 0.010995574285501701, -0.04084070448900632, -0.012959069693627005, -0.009424777959001457, -0.009424777959001457, 0.0200276531628781, -0.0023561944897503642, 0.0047123889795007284, -0.018849555918002914, -0.011780972448751823, -0.014137166938502187, 0.0)","(0.0, 0.0, 3.22, -14.46, 0.464, -23.016, 0.128, -0.24, -0.232, 1.184, -14.488, 0.028, -22.972, 0.404, 0.492, 0.044, -20.48)"
2017/07/11/15:52:17.783857,767626,1499759541,732000000,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)"
