%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.name9,field.name10,field.name11,field.name12,field.name13,field.name14,field.name15,field.name16,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.velocity7,field.velocity8,field.velocity9,field.velocity10,field.velocity11,field.velocity12,field.velocity13,field.velocity14,field.velocity15,field.velocity16,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6,field.effort7,field.effort8,field.effort9,field.effort10,field.effort11,field.effort12,field.effort13,field.effort14,field.effort15,field.effort16
1499759955038070908,3015550,1499759958984138616,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0559902987578,0.379660245002,1.26054871244,-0.839854481367,-0.971009838731,-0.207854396758,1.18653413943,1.66091769808,0.0479368996214,1.85381578216,-0.948000126913,-1.41701475281,0.0720970970306,1.2152962792,-0.167970896273,-12.5659871192,0.0,-0.00863937979575,-0.00431968989788,0.0113882733671,-0.00431968989788,-0.003141592653,-0.003141592653,-0.00746128255088,-0.000392699081625,-0.00549778714275,-0.00510508806113,0.000392699081625,0.00353429173463,0.00196349540813,0.00903207887738,-0.0227765467343,0.0,0.0,0.0,3.348,-13.684,0.496,-22.432,0.164,0.084,-0.196,0.968,-14.428,-0.124,-23.032,0.388,0.52,0.092,-20.48
1499759955047716489,3015551,1499759958994093669,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0556068035608,0.380043740199,1.26054871244,-0.83947098617,-0.970242848338,-0.207854396758,1.18730112982,1.66015070769,0.0464029188335,1.85381578216,-0.948000126913,-1.41739824801,0.0724805922276,1.21644676479,-0.169121381864,-12.5659871192,0.0,0.0015707963265,-0.0137444678569,0.0153152641834,0.00353429173463,-0.00274889357138,0.0047123889795,-0.00746128255088,-0.00903207887738,0.0102101761223,-0.0164933614283,-0.0102101761223,0.00589048622438,-0.00353429173463,-0.0047123889795,-0.00903207887738,0.0,0.0,0.0,3.444,-13.744,0.528,-22.496,0.172,0.104,-0.196,1.06,-14.4,-0.152,-23.032,0.396,0.54,0.072,-20.48
1499759955052294149,815844,1499759959000000000,,l_gripper_l_finger_joint,0.02083,0.0,0.0
1499759955052304928,815845,1499759959000000000,,r_gripper_l_finger_joint,0.0200144707441,0.0,0.0
1499759955057866780,3015552,1499759959004093216,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0563737939548,0.380427235396,1.26054871244,-0.839854481367,-0.970242848338,-0.208237891955,1.18691763463,1.66091769808,0.0464029188335,1.85381578216,-0.946849641322,-1.41624776242,0.0720970970306,1.21683025999,-0.167587401076,-12.5659871192,0.0,0.00235619448975,0.000392699081625,-0.00510508806113,-0.00431968989788,0.0161006623466,-0.0047123889795,0.0,-0.003141592653,0.00667588438763,-0.0106028752039,0.0047123889795,0.00117809724488,0.00274889357138,-0.0255254403056,-0.00353429173463,0.0,0.0,0.0,3.572,-13.776,0.528,-22.564,0.164,0.076,-0.196,1.028,-14.4,-0.06,-23.032,0.388,0.54,0.084,-20.48
1499759955067826291,3015553,1499759959014156505,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0556068035608,0.380043740199,1.26054871244,-0.83947098617,-0.969859353141,-0.207470901562,1.18768462502,1.66053420289,0.0467864140305,1.85381578216,-0.947233136519,-1.41663125761,0.0724805922276,1.2156797744,-0.167587401076,-12.5659871192,0.0,0.00196349540813,-0.00353429173463,0.0078539816325,-0.0137444678569,-0.00746128255088,-0.00981747704063,-0.00824668071413,-0.00196349540813,-0.0263108384689,0.00196349540813,0.00353429173463,0.00078539816325,0.000392699081625,-0.00235619448975,0.0337721210198,0.0,0.0,0.0,3.316,-13.808,0.56,-22.628,0.156,0.096,-0.196,1.0,-14.4,-0.06,-23.064,0.376,0.54,0.112,-20.48
1499759955078317151,3015554,1499759959024139328,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0556068035608,0.380043740199,1.26093220764,-0.83947098617,-0.970626343534,-0.207854396758,1.18806812022,1.66091769808,0.0471699092275,1.85458277255,-0.948000126913,-1.41701475281,0.0728640874246,1.2156797744,-0.167970896273,-12.5659871192,0.0,-0.0129590696936,0.0015707963265,0.0109955742855,0.00746128255088,0.00863937979575,0.0204203522445,0.00667588438763,0.000392699081625,-0.0047123889795,-0.00706858346925,-0.0015707963265,-0.0102101761223,-0.0078539816325,-0.00706858346925,0.0106028752039,0.0,0.0,0.0,3.444,-13.868,0.56,-22.788,0.136,0.076,-0.184,1.06,-14.368,0.06,-23.004,0.376,0.56,0.072,-20.48
1499759955087674702,3015555,1499759959034131152,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0559902987578,0.379660245002,1.26054871244,-0.840237976564,-0.969859353141,-0.207087406365,1.18730112982,1.66053420289,0.0475534044244,1.85381578216,-0.946849641322,-1.41701475281,0.0717136018336,1.21491278401,-0.16835439147,-12.5659871192,0.0,0.00078539816325,-0.0117809724488,0.00392699081625,-0.00589048622438,-0.0047123889795,-0.0047123889795,0.0133517687753,0.00510508806113,0.0047123889795,0.0290597320403,-0.0176714586731,0.00667588438763,0.00549778714275,0.0106028752039,-0.0129590696936,0.0,0.0,0.0,3.348,-13.9,0.56,-23.048,0.172,0.056,-0.196,1.028,-14.368,-0.06,-23.032,0.388,0.54,0.084,-20.48
1499759955098056939,3015556,1499759959044137238,,head_nod,head_pan,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2,torso_t0,0.0,-0.0563737939548,0.380427235396,1.26016521725,-0.83947098617,-0.970242848338,-0.208237891955,1.18730112982,1.66053420289,0.0464029188335,1.85343228696,-0.946849641322,-1.41663125761,0.0724805922276,1.2152962792,-0.16835439147,-12.5659871192,0.0,-0.0015707963265,-0.00274889357138,0.0106028752039,-0.00981747704063,0.0117809724488,-0.00903207887738,-0.00392699081625,0.00549778714275,-0.000392699081625,-0.00353429173463,0.00274889357138,-0.00549778714275,0.0,-0.00196349540813,-0.00392699081625,0.0,0.0,0.0,3.476,-14.024,0.496,-23.244,0.156,0.056,-0.196,1.184,-14.368,-0.06,-23.032,0.376,0.54,0.084,-20.48
1499759955101704393,815846,1499759959049999872,,r_gripper_l_finger_joint,0.0200144707441,0.0,0.0
1499759955102061696,815847,1499759959049999872,,l_gripper_l_finger_joint,0.02083,0.0,0.0
