time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.quat0,.quat1,.quat2,.quat3,.acc0,.acc1,.acc2
2017/07/11/16:02:16.040617,173550,1499760136,39935111,0,2625,3588,9728,12410,235,1880,361
2017/07/11/16:02:16.060943,173551,1499760136,60826063,0,2616,3577,9758,12391,229,1908,315
2017/07/11/16:02:16.084387,173552,1499760136,83930015,0,2608,3572,9787,12372,261,1996,337
2017/07/11/16:02:16.098887,173553,1499760136,98629951,0,2592,3573,9798,12366,262,2031,308
2017/07/11/16:02:16.121501,173554,1499760136,121095895,0,2580,3574,9785,12379,309,2011,383
2017/07/11/16:02:16.143928,173555,1499760136,143702030,0,2580,3565,9767,12396,276,1867,363
2017/07/11/16:02:16.159012,173556,1499760136,158663988,0,2573,3554,9755,12409,240,1818,382
2017/07/11/16:02:16.181335,173557,1499760136,181128025,0,2567,3551,9748,12417,269,1900,396
2017/07/11/16:02:16.203652,173558,1499760136,203386068,0,2565,3549,9742,12422,338,1947,381
2017/07/11/16:02:16.219006,173559,1499760136,218744993,0,2560,3538,9738,12430,285,1911,405
2017/07/11/16:02:16.241684,173560,1499760136,241192102,0,2555,3530,9732,12438,233,1864,412
2017/07/11/16:02:16.264580,173561,1499760136,264133930,0,2545,3529,9730,12442,287,1901,392
2017/07/11/16:02:16.278610,173562,1499760136,278450965,0,2537,3521,9731,12445,278,1880,414
2017/07/11/16:02:16.301250,173563,1499760136,300976991,0,2529,3506,9739,12445,250,1904,368
2017/07/11/16:02:16.331916,173564,1499760136,331707000,0,2520,3495,9746,12444,233,1949,335
2017/07/11/16:02:16.338810,173565,1499760136,338547945,0,2522,3489,9738,12452,256,2037,371
2017/07/11/16:02:16.361671,173566,1499760136,361309051,0,2527,3491,9723,12462,338,1937,387
2017/07/11/16:02:16.383751,173567,1499760136,383577108,0,2526,3485,9708,12475,302,1841,430
2017/07/11/16:02:16.398608,173568,1499760136,398367881,0,2520,3478,9696,12488,277,1877,398
2017/07/11/16:02:16.421288,173569,1499760136,421091079,0,2519,3468,9687,12498,274,1881,405
2017/07/11/16:02:16.444061,173570,1499760136,443768024,0,2526,3454,9696,12493,266,1985,333
2017/07/11/16:02:16.458837,173571,1499760136,458604097,0,2541,3445,9691,12497,267,2027,398
2017/07/11/16:02:16.481601,173572,1499760136,481348991,0,2543,3445,9667,12515,358,1896,433
2017/07/11/16:02:16.503971,173573,1499760136,503608942,0,2541,3439,9645,12534,384,1772,430
2017/07/11/16:02:16.518501,173574,1499760136,518352985,0,2553,3416,9646,12537,248,1830,442
2017/07/11/16:02:16.541302,173575,1499760136,541009902,0,2577,3388,9662,12527,277,1948,398
2017/07/11/16:02:16.564123,173576,1499760136,563774108,0,2611,3349,9661,12531,287,2033,406
2017/07/11/16:02:16.578722,173577,1499760136,578527927,0,2637,3308,9656,12541,302,1924,419
2017/07/11/16:02:16.608618,173578,1499760136,608409881,0,2653,3255,9660,12548,257,1822,481
2017/07/11/16:02:16.623992,173579,1499760136,623676061,0,2678,3194,9680,12543,198,1894,467
2017/07/11/16:02:16.646311,173580,1499760136,645979881,0,2707,3124,9683,12552,232,1962,490
2017/07/11/16:02:16.661308,173581,1499760136,661083936,0,2729,3042,9673,12576,233,1871,515
2017/07/11/16:02:16.684092,173582,1499760136,683886051,0,2749,2957,9684,12583,123,1891,498
2017/07/11/16:02:16.706615,173583,1499760136,706125974,0,2762,2868,9716,12576,120,1955,474
